,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
AvailableForSaleDebtSecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,,,,,,,,,58235000000.0,57971000000.0,59672000000.0,57201000000.0,57201000000.0,57201000000.0,57201000000.0,56576000000.0,56576000000.0,56576000000.0,56576000000.0,57525000000.0,57525000000.0,57525000000.0,57525000000.0,57525000000.0,57134000000.0,57134000000.0,57134000000.0,58945000000.0,60534000000.0
AvailableForSaleEquitySecuritiesAmortizedCostBasis,,,,,,,,,,,,,,,,,,,,,,,,3752000000.0,3649000000.0,4123000000.0,4806000000.0,4792000000.0,4806000000.0,4806000000.0,4806000000.0,5157000000.0,5157000000.0,5157000000.0,5461000000.0,5461000000.0,5461000000.0,5461000000.0,5461000000.0,5461000000.0,6673000000.0,,,
ShortTermInvestmentsAmortizedCost,,,,,,,,,,,,,,,,,,,,,,,,2497000000.0,2540000000.0,3036000000.0,2540000000.0,3526000000.0,2122000000.0,2122000000.0,4288000000.0,4288000000.0,4288000000.0,4288000000.0,4288000000.0,1944000000.0,1944000000.0,1944000000.0,1944000000.0,3027000000.0,3740000000.0,5254000000.0,,
AvailableForSaleSecuritiesDebtSecurities,,,,,,,,,,,,,,,,,,,,,,,,61403000000.0,59930000000.0,58257000000.0,485000000.0,57948000000.0,57948000000.0,57948000000.0,513000000.0,57839000000.0,57839000000.0,57839000000.0,58992000000.0,58992000000.0,56891000000.0,57663000000.0,57170000000.0,57170000000.0,58484000000.0,59259000000.0,59857000000.0,59044000000.0
PreferredStockParOrStatedValuePerShare,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AvailableForSaleSecuritiesEquitySecurities,,,,,,,,,,,,,,,,,,,,,,,,4166000000.0,4104000000.0,4236000000.0,4104000000.0,5117000000.0,5082000000.0,5082000000.0,5082000000.0,5666000000.0,5666000000.0,5666000000.0,5666000000.0,6621000000.0,,,,,,,,
MortgageLoansOnRealEstateCommercialAndConsumerNet,,,,,,,,,,,,,,,,,,,,,,,,4276000000.0,4343000000.0,4188000000.0,4188000000.0,4338000000.0,4338000000.0,4338000000.0,4486000000.0,4486000000.0,4486000000.0,4486000000.0,4486000000.0,4534000000.0,4535000000.0,4592000000.0,4670000000.0,4681000000.0,4670000000.0,4670000000.0,4759000000.0,4817000000.0
PreferredStockSharesAuthorized,,,,,,,,,,,,,,,,,,,,,,,,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,,,,,,,,,,,,,,,,,,,,,4527000000.0,4527000000.0,4823000000.0,4874000000.0,4874000000.0,5407000000.0,5588000000.0,4874000000.0,5982000000.0,6206000000.0,6600000000.0,6740000000.0,7434000000.0,6740000000.0,6740000000.0,7505000000.0,6740000000.0,7818000000.0,7505000000.0,7087000000.0,6941000000.0
PreferredStockSharesIssued,,,,,,,,,,,,,,,,,,,,,,,,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,95200.0,95200.0,95200.0,72200.0,72200.0,79800.0,79800.0,92500.0,92500.0
ShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,2497000000.0,2540000000.0,3036000000.0,2540000000.0,3526000000.0,2122000000.0,2122000000.0,277000000.0,4288000000.0,4288000000.0,4288000000.0,4288000000.0,1944000000.0,1944000000.0,1944000000.0,3027000000.0,1944000000.0,3740000000.0,5254000000.0,,
PreferredStockSharesOutstanding,,,,,,,,,,,,,,,,,,,,,,,,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,72200.0,95200.0,95200.0,95200.0,79800.0,79800.0,79800.0,79800.0,81000.0,81000.0
OtherInvestments,,,,,,,,,,,,,,,,,,,,,,,,3314000000.0,3511000000.0,3314000000.0,3314000000.0,3550000000.0,3590000000.0,3663000000.0,3706000000.0,3738000000.0,3706000000.0,3706000000.0,3972000000.0,3972000000.0,3972000000.0,3972000000.0,3852000000.0,3852000000.0,3856000000.0,3852000000.0,4005000000.0,3918000000.0
PreferredStockLiquidationPreferenceValue,,,,,,,,,,,,,,,,,,,,,,,,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,1805000000.0,2380000000.0,2380000000.0,2380000000.0,1805000000.0,1995000000.0,1995000000.0,1995000000.0,2025000000.0,2025000000.0
CommonStockParOrStatedValuePerShare,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Investments,,,,,,,,,,,,,,,,,,,,,,,,80437000000.0,79141000000.0,81113000000.0,77758000000.0,77758000000.0,79694000000.0,81104000000.0,77758000000.0,81143000000.0,81799000000.0,81799000000.0,81799000000.0,82803000000.0,82803000000.0,82803000000.0,81260000000.0,81260000000.0,81260000000.0,81260000000.0,84842000000.0,89637000000.0
Cash,,,,,,,,,,,,,,,,,,,,,,,,1170000000.0,657000000.0,885000000.0,495000000.0,916000000.0,657000000.0,657000000.0,105000000.0,495000000.0,446000000.0,389000000.0,436000000.0,442000000.0,482000000.0,690000000.0,617000000.0,617000000.0,599000000.0,587000000.0,338000000.0,547000000.0
CommonStockSharesAuthorized,,,,,,,,,,,,,,,,,,,,,,,,,2000000000.0,2000000000.0,2000000000.0,,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0,2000000000.0
CommonStockSharesIssued,,,,,,,,,,,,,,,,,,,,,,,,,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0,900000000.0
PremiumsReceivableAtCarryingValue,,,,,,,,,,,,,,,,,,,,,,,,5465000000.0,5599000000.0,5711000000.0,5544000000.0,5558000000.0,5544000000.0,5544000000.0,5597000000.0,5597000000.0,5597000000.0,5597000000.0,5786000000.0,5786000000.0,5786000000.0,5786000000.0,6154000000.0,5786000000.0,6380000000.0,6558000000.0,6472000000.0,6367000000.0
DeferredPolicyAcquisitionCostsAndValueOfBusinessAcquired,,,,,,,,,,,,,,,,,,,,,,,,3525000000.0,3708000000.0,3811000000.0,3621000000.0,3807000000.0,3861000000.0,3861000000.0,3954000000.0,3954000000.0,4037000000.0,4147000000.0,3954000000.0,4409000000.0,4191000000.0,4191000000.0,4784000000.0,4784000000.0,4667000000.0,4784000000.0,4742000000.0,4699000000.0
CommonStockSharesOutstanding,,,,,,,,,,,,,,,,,,,,,,,,,418000000.0,390000000.0,381000000.0,,381000000.0,381000000.0,366000000.0,366000000.0,366000000.0,366000000.0,366000000.0,355000000.0,355000000.0,355000000.0,355000000.0,333000000.0,330000000.0,325000000.0,315000000.0,319000000.0
TreasuryStockShares,,,,,,,,,,,,,,,,,,,,,,,,482000000.0,498000000.0,482000000.0,482000000.0,519000000.0,519000000.0,519000000.0,519000000.0,534000000.0,534000000.0,534000000.0,545000000.0,545000000.0,553000000.0,555000000.0,545000000.0,568000000.0,568000000.0,568000000.0,581000000.0,587000000.0
ReinsuranceRecoverables,,,,,,,,,,,,,,,,,,,,,,,,8490000000.0,8490000000.0,8490000000.0,8490000000.0,8573000000.0,8650000000.0,8922000000.0,8518000000.0,8723000000.0,8745000000.0,8745000000.0,8745000000.0,8921000000.0,8910000000.0,8994000000.0,9565000000.0,9374000000.0,9565000000.0,9565000000.0,,
