,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
CommonStockNoParValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReceivablesNetCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2865.0,,8.0,8.0,8.0,8.0,,,,,,,,,,
PrepaidExpenseCurrent,,,,,,,,,,,0.0,3188.0,0.0,,,750.0,,,3648.0,0.0,1892.0,5392.0,21028.0,18620.0,,46938.0,46938.0,8988.0,12810.0,12810.0,16764.0,16764.0,16764.0,24625.0,,,4500.0,,4500.0,,,131512.0,10557.0,6500.0
PreferredStockParOrStatedValuePerShare,,,,,,,,,,,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.0001,0.001,0.01,0.01,0.0001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.001,0.001,0.001,0.0001,0.001,0.001,0.001,0.0001,0.001
PropertyPlantAndEquipmentGross,,,,,,,,,,,,,,376188.0,376188.0,383893.0,506518.0,2512994.0,5161910.0,161577.0,5855125.0,59067.0,36419.0,38774.0,18487971.0,18487971.0,17626306.0,745640.0,1398.0,,,,,,,,,,,,,68136.0,,
PreferredStockSharesAuthorized,,,,,,,,,,,25000000.0,10000000.0,10000000.0,5000000.0,10000.0,10000000.0,25000000.0,25000000.0,10000000.0,5000000.0,25000000.0,10000000.0,10000.0,5000000.0,50000000.0,50000000.0,50000000.0,10000000.0,5000000.0,5000000.0,5000000.0,5000000.0,10000000.0,5000000.0,50000000.0,5000000.0,10000000.0,10000000.0,10000000.0,5000000.0,50000000.0,50000000.0,10000000.0,5000000.0
PreferredStockSharesIssued,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,28025.0,28025.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,0.0,142450.0,0.0,0.0,142450.0,142450.0,142450.0,0.0
PreferredStockSharesOutstanding,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,28025.0,28025.0,28025.0,1000000.0,132450.0,0.0,142450.0,0.0,0.0,0.0,0.0,142450.0,1000000.0,0.0,1000000.0
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,150000.0,150000.0,6803.0,150000.0,150000.0,150000.0,6467.0,,,,,,,150000.0,,,,,,7650.0,7225.0,8500.0,6800.0,150000.0,6800.0,,150000.0,,,,6465580.0,,,,473935.0
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,,,,,,,,11792.0,11792.0,11792.0,1343.0,56517.0,27299.0,20442.0,46962.0,9315.0,5440.0,6789.0,5440.0,3334.0,5048.0,6800.0,12426.0,12426.0,12426.0,12426.0,,21287.0,,39168.0,77403.0,77403.0,,74284.0,65394.0,24735.0,26849.0,81630.0
