,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,,171024000.0,171024000.0,171024000.0,,192640000.0,188492000.0,201862000.0,,211304000.0,215278000.0,219623000.0,,233387000.0,240041000.0,246686000.0,,254807000.0,270965000.0,254807000.0,,296283000.0,308918000.0,289760000.0,,328873000.0,328873000.0,328873000.0,391764000.0,377810000.0
Cash,,,,,,,,,,,,,24661000.0,3144000.0,4402000.0,26686000.0,38290000.0,57403000.0,38290000.0,26686000.0,8302000.0,43309000.0,21221000.0,1402000.0,61004000.0,71833000.0,8302000.0,22274000.0,22274000.0,22274000.0,2002000.0,22274000.0,22274000.0,2002000.0,21221000.0,29412000.0,38165000.0,19563000.0,22274000.0,1668000.0,4014000.0,2961000.0,,
FranchiseRightsAccumulatedAmortization,,,,,,,,,,,,,,,,74699000.0,74699000.0,74699000.0,,79855000.0,78818000.0,78818000.0,,83184000.0,83184000.0,83184000.0,,87869000.0,87869000.0,87869000.0,,93799000.0,93799000.0,93799000.0,,100615000.0,100615000.0,100615000.0,,108021000.0,108021000.0,108021000.0,119288000.0,126628000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,,,,,,6703000.0,6504000.0,6504000.0,7462000.0,6818000.0,6278000.0,6353000.0,6337000.0,6353000.0,6787000.0,6353000.0,7502000.0,7502000.0,7502000.0,7502000.0,8818000.0,9008000.0,9431000.0,8471000.0,10050000.0,10302000.0,9734000.0,,11028000.0,11028000.0,11028000.0,11028000.0,12022000.0,12022000.0,12022000.0,13365000.0,13365000.0
ReceivablesNetCurrent,,,,,,,,,,,,,4121000.0,6673000.0,6673000.0,6418000.0,6249000.0,4238000.0,6418000.0,2846000.0,2846000.0,2846000.0,2846000.0,4034000.0,6075000.0,5448000.0,4034000.0,6161000.0,6161000.0,6161000.0,6161000.0,7623000.0,7623000.0,7623000.0,7623000.0,9420000.0,9420000.0,9420000.0,11693000.0,11693000.0,11693000.0,15810000.0,11701000.0,17166000.0
BelowMarketLeaseAccumulatedAmortization,,,,,,,,,,,,,,,,,,418000.0,,575000.0,653000.0,732000.0,,841000.0,841000.0,841000.0,,1490000.0,1636000.0,1770000.0,,1760000.0,1760000.0,1760000.0,,1938000.0,1943000.0,1943000.0,,2256000.0,2129000.0,2256000.0,69000.0,
InventoryNet,,,,,,,,,,,,,5601000.0,5601000.0,5601000.0,7729000.0,7729000.0,7729000.0,6494000.0,5824000.0,5844000.0,6494000.0,7785000.0,6760000.0,6944000.0,6698000.0,7126000.0,7405000.0,7619000.0,7719000.0,7761000.0,7862000.0,8131000.0,7761000.0,7761000.0,8643000.0,9373000.0,9373000.0,9373000.0,10396000.0,12393000.0,10396000.0,13334000.0,13334000.0
PrepaidRent,,,,,,,,,,,,,4077000.0,2431000.0,2435000.0,2438000.0,2424000.0,2435000.0,2332000.0,2332000.0,2414000.0,2535000.0,2332000.0,1570000.0,1656000.0,1659000.0,4168000.0,4168000.0,4168000.0,4168000.0,4665000.0,4665000.0,4665000.0,5083000.0,4665000.0,5169000.0,5134000.0,5134000.0,1880000.0,1880000.0,1880000.0,1880000.0,,
OffMarketLeaseUnfavorableAccumulatedAmortization,,,,,,,,,,,,,,,,,,,,1378000.0,1378000.0,1922000.0,,2572000.0,2240000.0,2240000.0,,3656000.0,3984000.0,4328000.0,,5006000.0,4635000.0,4643000.0,,5053000.0,5053000.0,5053000.0,,6075000.0,6019000.0,6075000.0,6075000.0,
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,,,,,,,5522000.0,5522000.0,5522000.0,3998000.0,2911000.0,2911000.0,2911000.0,2874000.0,2874000.0,4510000.0,2874000.0,5312000.0,3009000.0,3009000.0,3009000.0,5266000.0,5266000.0,5266000.0,7465000.0,7465000.0,7465000.0,7752000.0,7465000.0,6622000.0,6622000.0,6622000.0,6695000.0,6695000.0,6695000.0,6695000.0,9748000.0,9748000.0
