,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,21000.0,32000.0,39000.0,,21000.0,,,,,
PreferredStockParOrStatedValuePerShare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PreferredStockSharesAuthorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5007000.0,5007000.0,8881000.0,7714000.0,7714000.0,5007000.0,7134000.0,18695000.0,7134000.0,11649000.0,10735000.0
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215000.0,,634000.0,1170000.0,588000.0,,,,840000.0,2749000.0,2749000.0
PreferredStockSharesIssued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AssetsCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222000.0,5222000.0,13748000.0,8302000.0,8302000.0,8302000.0,7974000.0,7974000.0,18586000.0,13787000.0,13484000.0
PreferredStockSharesOutstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PropertyPlantAndEquipmentNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000.0,33000.0,33000.0,33000.0,391000.0,463000.0,463000.0,463000.0,358000.0,316000.0,238000.0
CommonStockParOrStatedValuePerShare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
IntangibleAssetsNetIncludingGoodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11148000.0,11148000.0,11148000.0,11148000.0,11148000.0,11148000.0,11148000.0,11148000.0,11148000.0,11148000.0,11148000.0
CommonStockSharesAuthorized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000000.0,75000000.0,75000000.0,75000000.0,75000000.0,75000000.0,75000000.0,100000000.0,100000000.0,100000000.0,100000000.0
CommonStockSharesIssued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12164852.0,12164852.0,25768861.0,26861497.0,21469109.0,21469109.0,28528663.0,28528663.0,45727700.0,53227700.0,45727700.0
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20633000.0,19483000.0,24929000.0,24066000.0,20899000.0,19585000.0,19585000.0,31854000.0,30398000.0,25235000.0,25235000.0
CommonStockSharesOutstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20822214.0,12164852.0,25768861.0,26861497.0,21469109.0,21469109.0,34409030.0,28528663.0,45727700.0,53227700.0,45727700.0
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089000.0,,,,,,,,,,
ConvertibleNotesPayableCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,296000.0,,,,,,,,,
DerivativeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743000.0,,,,,,,,,,
LiabilitiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345000.0,1345000.0,2215000.0,4116000.0,3129000.0,3878000.0,6436000.0,3878000.0,3878000.0,3235000.0,3739000.0
DeferredCompensationLiabilityClassifiedNoncurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,150000.0,150000.0,0.0,150000.0,0.0,,,,,
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1433000.0,1433000.0,2365000.0,7318000.0,5931000.0,2365000.0,5313000.0,9762000.0,11423000.0,10180000.0,9664000.0
CommitmentsAndContingencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,
PreferredStockValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommonStockValue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0,12000.0,21000.0,21000.0,27000.0,21000.0,29000.0,29000.0,46000.0,53000.0,60000.0
AdditionalPaidInCapitalCommonStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29925000.0,19623000.0,31577000.0,38247000.0,31577000.0,40564000.0,45021000.0,53643000.0,54673000.0,55055000.0,55055000.0
