,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,,,,,,,,,,,,291000.0,258000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockParOrStatedValuePerShare,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,,,,,,,,,,2907000.0,2906000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockSharesAuthorized,,,,,,,,,,,,,,,,,,150000000.0,150000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AccountsReceivableNetCurrent,,,,,,,,,,,,,,,,,,32688000.0,32688000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockSharesIssued,,,,,,,,,,,,,,,,,,106542581.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,
InventoryNet,,,,,,,,,,,,,,,,,,40203000.0,40758000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockSharesOutstanding,,,,,,,,,,,,,,,,,,105652581.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,
PrepaidExpenseAndOtherAssetsCurrent,,,,,,,,,,,,,,,,,,4955000.0,3366000.0,,,,,,,,,,,,,,,,,,,,,,,,,
TreasuryStockShares,,,,,,,,,,,,,,,,,,890000.0,890000.0,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsNetCurrent,,,,,,,,,,,,,,,,,,130000.0,408000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AssetsCurrent,,,,,,,,,,,,,,,,,,79832000.0,79164000.0,,,,,,,,,,,,,,,,,,,,,,,,,
PropertyPlantAndEquipmentNet,,,,,,,,,,,,,,,,,,79153000.0,79786000.0,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill,,,,,,,,,,,,,,,,,,136705000.0,136705000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,,,,,,,,,63900000.0,62485000.0,,,,,,,,,,,,,,,,,,,,,,,,,
Assets,,,,,,,,,,,,,,,,,,377530000.0,362471000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AccountsPayableCurrent,,,,,,,,,,,,,,,,,,33261000.0,30249000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,,,,,15090000.0,18723000.0,,,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtCurrent,,,,,,,,,,,,,,,,,,32416000.0,32416000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalLeaseObligationsCurrent,,,,,,,,,,,,,,,,,,577000.0,817000.0,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesCurrent,,,,,,,,,,,,,,,,,,677000.0,564000.0,,,,,,,,,,,,,,,,,,,,,,,,,
LiabilitiesCurrent,,,,,,,,,,,,,,,,,,81803000.0,4609000.0,,,,,,,,,,,,,,,,,,,,,,,,,
LongTermDebtNoncurrent,,,,,,,,,,,,,,,,,,4377000.0,265268000.0,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,20018000.0,19530000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalLeaseObligationsNoncurrent,,,,,,,,,,,,,,,,,,2563000.0,2131000.0,,,,,,,,,,,,,,,,,,,,,,,,,
DueToAffiliateNoncurrent,,,,,,,,,,,,,,,,,,3234000.0,2323000.0,,,,,,,,,,,,,,,,,,,,,,,,,
OtherLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,56252000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,,,456051000.0,313812000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CommitmentsAndContingencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RedeemableNoncontrollingInterestEquityFairValue,,,,,,,,,,,,,,,,,,939000.0,939000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AdditionalPaidInCapital,,,,,,,,,,,,,,,,,,52325000.0,52693000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,,,,,,,,,,,,,,,,,,-29462000.0,-29462000.0,,,,,,,,,,,,,,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,,,,,,,,,,,,,,,,,,-102968000.0,-96233000.0,,,,,,,,,,,,,,,,,,,,,,,,,
TreasuryStockValue,,,,,,,,,,,,,,,,,,651000.0,651000.0,,,,,,,,,,,,,,,,,,,,,,,,,
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,-55139000.0,61824000.0,,,,,,,,,,,,,,,,,,,,,,,,,
LiabilitiesAndStockholdersEquity,,,,,,,,,,,,,,,,,,362587000.0,362587000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockValue,,,,,,,,,,,,,,,,,,1065000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
