,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
CashEquivalentsAtCarryingValue,,,,,,,153742000.0,153742000.0,153742000.0,95263000.0,80864000.0,353781.0,95263000.0,57544000.0,347.0,0.0,39123000.0,1729.0,8636.0,0.0,53665000.0,50827.0,0.0,58672000.0,981525.0,117583000.0,38695.0,4168.0,1192119.0,223644000.0,88540.0,223644000.0,658000.0,603805.0,603805.0,4225000.0,988905.0,16064000.0,87075000.0,11032451.0,10054000.0,20014000.0,4561682.0
AllowanceForDoubtfulAccountsReceivableCurrent,,,,,,,885000.0,398000.0,1696.0,6000.0,8429.0,140285.0,23513.0,7531.0,6053.0,24913151.0,997763.0,39511457.0,11392.0,1592000.0,5535.0,29874471.0,240681.0,0.0,31667803.0,1956000.0,294719.0,7018.0,9304.0,547173.0,417167.0,4049.0,1956000.0,4049.0,1251000.0,11547598.0,322638.0,25714.0,6031.0,40000.0,6031.0,678000.0,40000.0
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,34226000.0,34226000.0,37118000.0,4249895.0,37118000.0,48722000.0,5900190.0,-10933475.0,5890282.0,,168958.0,68994000.0,1011114.0,76266000.0,66666.0,,1322226.0,,,,,,,,,,,,,,,,,,,,
OilAndGasPropertyFullCostMethodDepletion,,,,,,,,,15786820.0,15786820.0,16182750.0,16247673.0,16308673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtInstrumentUnamortizedDiscount,,,,,,,,,43966.0,40687.0,60812.0,0.0,36870.0,23522.0,0.0,0.0,0.0,105062.0,0.0,8770.0,8770.0,40479.0,34584.0,206101.0,0.0,610208.0,34584.0,,,106504.0,,,,,,,,,,,,,
TemporaryEquityStatedValuePerSharePerShareType,,,,,,,,,,0.001,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrantReceivables,,,,,,,6660000.0,3199000.0,6660000.0,4579000.0,3532000.0,4579000.0,9684000.0,8971000.0,9684000.0,9684000.0,2934000.0,2934000.0,7971000.0,4728000.0,4809000.0,4863000.0,4809000.0,2853000.0,2306000.0,2306000.0,2306000.0,1560000.0,1580000.0,1738000.0,1580000.0,1580000.0,2322000.0,3457000.0,2322000.0,2322000.0,2965000.0,2965000.0,2965000.0,,2965000.0,,
UnamortizedDiscountsOnUnsecuredConvertibleNotesPayable,,,,,,,,,3041.0,3041.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BadDebtReserves,,,,,,,,,,,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TemporaryEquitySharesIssued,,,,,,,,,,0.0,0.0,,,,,,,,,725000.0,,,475000.0,,,,7000000.0,120000.0,,,,0.0,,,,,,,,,,,
PreferredStockNoParValue,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
