,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
NetIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,,600000000.0,645000000.0,1682000000.0,2171000000.0,246000000.0,517000000.0,1682000000.0,2850000000.0,695000000.0,1274000000.0,1940000000.0,2171000000.0,975000000.0,579000000.0,666000000.0,2252000000.0,1006000000.0,717000000.0,979000000.0,549000000.0,2143000000.0
DepreciationAmortizationAndAccretionNet,,,,,,,,,,,,,,,,,,,,,,,,87000000.0,179000000.0,277000000.0,368000000.0,91000000.0,188000000.0,285000000.0,371000000.0,91000000.0,238000000.0,358000000.0,371000000.0,122000000.0,248000000.0,376000000.0,511000000.0,483000000.0,248000000.0,476000000.0,155000000.0,317000000.0
RealizedInvestmentGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,54000000.0,294000000.0,280000000.0,694000000.0,-149000000.0,108000000.0,33000000.0,0.0,134000000.0,24000000.0,33000000.0,30000000.0,134000000.0,-159000000.0,17000000.0,-877000000.0,445000000.0,986000000.0,176000000.0,-462000000.0,986000000.0
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,,,,,,,,,,,,,,,,,,,-59000000.0,-50000000.0,-27000000.0,3000000.0,2000000.0,3000000.0,4000000.0,5000000.0,2000000.0,14000000.0,15000000.0,20000000.0,1000000.0,3000000.0,4000000.0,20000000.0,6000000.0,3000000.0,4000000.0,1000000.0,2000000.0
InterestCreditedToPolicyholdersAccountBalances,,,,,,,,,,,,,,,,,,,,,,,,199000000.0,384000000.0,717000000.0,761000000.0,190000000.0,185000000.0,558000000.0,726000000.0,173000000.0,175000000.0,174000000.0,690000000.0,173000000.0,326000000.0,489000000.0,654000000.0,726000000.0,156000000.0,169000000.0,132000000.0,156000000.0
IncreaseDecreaseInInsuranceLiabilities,,,,,,,,,,,,,,,,,,,,,,,,-18000000.0,526000000.0,50000000.0,-55000000.0,115000000.0,577000000.0,978000000.0,473000000.0,459000000.0,228000000.0,1276000000.0,631000000.0,183000000.0,228000000.0,1276000000.0,631000000.0,302000000.0,211000000.0,29000000.0,,
IncreaseDecreaseInUnearnedPremiums,,,,,,,,,,,,,,,,,,,,,,,,-117000000.0,244000000.0,822000000.0,602000000.0,-117000000.0,62000000.0,540000000.0,766000000.0,-205000000.0,34000000.0,525000000.0,638000000.0,-248000000.0,34000000.0,525000000.0,915000000.0,915000000.0,211000000.0,785000000.0,-272000000.0,143000000.0
IncreaseDecreaseInDeferredPolicyAcquisitionCosts,,,,,,,,,,,,,,,,,,,,,,,,35000000.0,77000000.0,219000000.0,268000000.0,35000000.0,132000000.0,219000000.0,165000000.0,7000000.0,72000000.0,159000000.0,214000000.0,-14000000.0,80000000.0,203000000.0,165000000.0,296000000.0,80000000.0,203000000.0,-38000000.0,27000000.0
IncreaseDecreaseInPremiumsReceivable,,,,,,,,,,,,,,,,,,,,,,,,46000000.0,158000000.0,290000000.0,134000000.0,-11000000.0,27000000.0,236000000.0,257000000.0,-11000000.0,51000000.0,267000000.0,134000000.0,58000000.0,51000000.0,267000000.0,42000000.0,42000000.0,209000000.0,392000000.0,-26000000.0,209000000.0
IncreaseDecreaseInReinsuranceRecoverable,,,,,,,,,,,,,,,,,,,,,,,,45000000.0,144000000.0,133000000.0,1068000000.0,40000000.0,120000000.0,420000000.0,1068000000.0,-11000000.0,-6000000.0,1017000000.0,178000000.0,12000000.0,-6000000.0,1017000000.0,211000000.0,656000000.0,9000000.0,103000000.0,-24000000.0,-235000000.0
IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,-68000000.0,-283000000.0,-60000000.0,573000000.0,-26000000.0,-176000000.0,30000000.0,417000000.0,284000000.0,-42000000.0,119000000.0,-119000000.0,284000000.0,-42000000.0,119000000.0,-245000000.0,303000000.0,-238000000.0,-178000000.0,303000000.0,257000000.0
