,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
DepreciationAndAmortization,,,,,,,,,,,16506.0,31957.0,43760.0,5652.0,2693.0,2678.0,17378.0,43241.0,53701.0,64589.0,,67280.0,1228.0,3428.0,10143.0,,762948.0,43232.0,183767.0,737.0,120671.0,7302.0,,300752.0,,120671.0,,,,300752.0,508186.0,254305.0,,
DepreciationDepletionAndAmortization,,,,,,,,,13184.0,53198.0,,2678.0,15339.0,,,,24283.0,5918.0,,5918.0,42747.0,36645.0,24283.0,,10143.0,465580.0,3719.0,,1064.0,1595.0,2126.0,532.0,1064.0,1595.0,,253368.0,508186.0,762490.0,,562737.0,509842.0,762490.0,23297.0,63659.0
ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,-406.0,11256.0,-43256.0,-27502.0,,,,,3781.0,8588.0,,,-3307.0,8588.0,60411.0,31194.0,-13725.0,27051.0,32900.0,,31194.0,,-4308.0,68029.0,-37307.0,,,5784.0,4668.0,,1084534.0
ShareBasedCompensation,,,,,,,,,,,,0.0,0.0,3682.0,921.0,15234.0,21010.0,3682.0,5825.0,2967.0,7017.0,30000.0,11664.0,,150610.0,10728.0,17709.0,17709.0,485993.0,126531.0,253063.0,360837.0,,485993.0,,275319.0,285976.0,8684.0,,81370.0,285976.0,83178.0,18349.0,163644.0
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,,542.0,2894.0,5745.0,10990.0,20477.0,96877.0,211361.0,10990.0,488681.0,168136.0,424069.0,333549.0,1216732.0,,,,,1216732.0,,,,,,555717.0,67712.0,79366.0,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,0.0,0.0,-2125.0,,,-1125.0,,15861.0,0.0,-3616.0,-1892.0,,4210.0,,-4510.0,-10085.0,-3263.0,,,,4266.0,12072.0,17152.0,312.0,,,,,7700.0,4617.0,,-50370.0,,
NetIncomeLoss,,,,,,,,,1352789.0,-3176539.0,0.0,-401982.0,-266083.0,-155976.0,-98067.0,-1550108.0,-333842.0,-47614.0,-407642.0,112276.0,-422881.0,-99661.0,311535.0,-1314768.0,-20391.0,-1490698.0,-1521934.0,-20391.0,-1287098.0,-4754677.0,-439964.0,-303146.0,-35309.0,-436295.0,-15300.0,-1154285.0,-1011607.0,-104893.0,,-1396731.0,-1940207.0,-104893.0,-1675899.0,-35765.0
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,0.0,336.0,,,,,420.0,9358.0,,2500.0,,9358.0,9778.0,9778.0,,,,,14260.0,,,,,,,-1567.0,-24442.0,,-22359.0,,,,
Depreciation,,,,,,,,,28326.0,3392.0,,,,,,,,43241.0,,,114.0,71575.0,10685.0,12690.0,140.0,11175.0,23.0,23.0,21721.0,,,,,25371.0,576.0,138.0,68820.0,101877.0,,41656.0,300.0,,28783.0,162.0
GainLossOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118492.0,,,,,,,,,,,,,,,
DerivativeGainLossOnDerivativeNet,,,,,,,,,,,,,,,,,,,,,,708506.0,,-81112.0,892614.0,708506.0,-3258891.0,-935250.0,892614.0,,907999.0,,438792.0,,,-3258891.0,-75824.0,,514616.0,8255968.0,,,3614566.0,
CostmethodInvestmentsOtherThanTemporaryImpairment,,,,,,,,,,,,,,,,,,,,,,,,,,,1150000.0,420000.0,1150000.0,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,-156393.0,2116904.0,,4748033.0,,,,,,1582.0,,,2141.0,15085.0,,,24749.0,83235.0,18354.0,77687.0,9429.0,892.0,11583.0,3080.0,19586.0,45821.0,,,,,92582.0,,,827708.0,,
ForgivenessOfDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10278.0,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,-229146.0,,,,-11374.0,4404.0,-2388.0,-2684.0,,-12819.0,-3888.0,-8356.0,-1642.0,-1021.0,15977.0,10052.0,-1714.0,-1021.0,-1819.0,19810.0,-5253.0,-4238.0,-1819.0,,21738.0,,8861.0,24845.0,24845.0,,9062.0,-8890.0,-21747.0,-3494.0,-8890.0
