,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
Noncashreductionofleasefinancingobligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,1744000.0,0.0,2538000.0,,,,0.0,,
NetIncomeLoss,,,,,,,,,,,,,7754000.0,3405000.0,-3527000.0,-5199000.0,-8695000.0,-11457000.0,11218000.0,-5199000.0,-1932000.0,-11082000.0,-18888000.0,-9276000.0,-4977000.0,7239000.0,-13519000.0,-9276000.0,-14253000.0,-7014000.0,2145000.0,2145000.0,9376000.0,4489000.0,29462000.0,-5596000.0,443000.0,8297000.0,45472000.0,-3102000.0,-3102000.0,3611000.0,-11469000.0,-3732000.0
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,250000.0,-285000.0,-285000.0,-106000.0,-200000.0,-272000.0,-212000.0,-119000.0,-193000.0,-321000.0,-925000.0,-119000.0,-193000.0,-252000.0,-925000.0,-169000.0,-134000.0,-252000.0,-537000.0,-67000.0,-479000.0,-252000.0,-364000.0,-67000.0,-479000.0,-252000.0,549000.0,-75000.0,-508000.0,-615000.0,-50000.0,-508000.0
ShareBasedCompensation,,,,,,,,,,,,,522000.0,273000.0,925000.0,102000.0,177000.0,588000.0,925000.0,296000.0,291000.0,302000.0,1180000.0,296000.0,704000.0,296000.0,1438000.0,341000.0,363000.0,367000.0,1180000.0,565000.0,606000.0,456000.0,1438000.0,883000.0,1786000.0,2509000.0,2053000.0,1585000.0,1385000.0,1531000.0,1526000.0,1100000.0
ImpairmentAndOtherLeaseCharges,,,,,,,,,,,,,,,,,2198000.0,1079000.0,977000.0,630000.0,429000.0,1822000.0,,1630000.0,706000.0,396000.0,,1630000.0,706000.0,396000.0,,222000.0,286000.0,685000.0,,531000.0,963000.0,2002000.0,,309000.0,3190000.0,1777000.0,910000.0,1277000.0
DepreciationDepletionAndAmortization,,,,,,,,,,,,,7788000.0,14714000.0,26321000.0,8063000.0,10842000.0,8536000.0,26321000.0,8063000.0,9045000.0,8536000.0,26321000.0,,9045000.0,29216000.0,36923000.0,11057000.0,9793000.0,9418000.0,36923000.0,13151000.0,22543000.0,34613000.0,47295000.0,14250000.0,28871000.0,43426000.0,58468000.0,14250000.0,14621000.0,14555000.0,21031000.0,32413000.0
AmortizationOfFinancingCosts,,,,,,,,,,,,,278000.0,934000.0,777000.0,118000.0,501000.0,752000.0,1004000.0,251000.0,501000.0,752000.0,1007000.0,251000.0,468000.0,663000.0,874000.0,197000.0,395000.0,593000.0,1007000.0,205000.0,395000.0,593000.0,1035000.0,205000.0,437000.0,735000.0,791000.0,299000.0,601000.0,1209000.0,299000.0,719000.0
AmortizationOfDebtDiscountPremium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24000.0,-239000.0,-459000.0,-223000.0,-24000.0,-239000.0,-913000.0,-238000.0,-449000.0,-679000.0,-238000.0,-264000.0
SaleLeasebackTransactionCurrentPeriodGainRecognized,,,,,,,,,,,,,882000.0,1326000.0,1987000.0,450000.0,899000.0,1326000.0,1987000.0,450000.0,899000.0,1349000.0,1793000.0,448000.0,896000.0,1953000.0,1793000.0,448000.0,904000.0,1348000.0,1788000.0,461000.0,904000.0,1230000.0,2535000.0,436000.0,839000.0,1186000.0,1584000.0,0.0,0.0,1186000.0,,
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,,,,,,,,,2297000.0,,-5284000.0,-6970000.0,-4201000.0,,3790000.0,5142000.0,4438000.0,,0.0,5142000.0,7774000.0,,,,,,0.0,-656000.0,0.0,,611000.0,-38000.0,-184000.0,,-346000.0,8219000.0,10052000.0,-346000.0,8219000.0
