,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
NetIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39547000.0,-5257000.0,-3896000.0,-15435000.0,-39547000.0,-7627000.0,-3004000.0
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5929000.0,1842000.0,3533000.0,5191000.0,6790000.0,3533000.0,5191000.0
ShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13068000.0,4036000.0,7282000.0,19312000.0,10560000.0,9099000.0,12822000.0
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,236000.0,478000.0,686000.0,683000.0,290000.0,1118000.0
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172000.0,,-572000.0,-581000.0,176000.0,35000.0,-170000.0
OtherNoncashIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-137000.0,22000.0,108000.0,30000.0,-216000.0,20000.0,108000.0
GainsLossesOnExtinguishmentOfDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3142000.0,,,-3142000.0,0.0,,-319000.0
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3555000.0,-162000.0,6622000.0,6833000.0,3555000.0,-529000.0,2292000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960000.0,-363000.0,-595000.0,1368000.0,5158000.0,1278000.0,1368000.0
IncreaseDecreaseInDeferredCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996000.0,-191000.0,-338000.0,0.0,0.0,,
IncreaseDecreaseInAccountsPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1434000.0,1836000.0,862000.0,-1752000.0,-1434000.0,876000.0,1088000.0
IncreaseDecreaseInEmployeeRelatedLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2626000.0,-5579000.0,-4438000.0,-2541000.0,2626000.0,-4438000.0,-1165000.0
IncreaseDecreaseInOtherAccruedLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1622000.0,-471000.0,-1525000.0,-639000.0,13000.0,,
IncreaseDecreaseInDeferredRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3192000.0,-2373000.0,-8581000.0,-2740000.0,5770000.0,1391000.0,-2740000.0
NetCashProvidedByUsedInOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523000.0,-9741000.0,-5026000.0,-642000.0,10450000.0,465000.0,7222000.0
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2102000.0,141000.0,91000.0,227000.0,359000.0,98000.0,190000.0
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12615000.0,,,,0.0,,
