,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
NetIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6620000.0,-9805000.0,-1927000.0,-3424000.0,-2866000.0,-11876000.0,-1927000.0,-5262000.0,-1927000.0,-4041000.0,-1221000.0
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,6000.0,8000.0,5000.0,13000.0,68000.0,48000.0,97000.0,147000.0,46000.0,98000.0
ShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487000.0,707000.0,110000.0,581000.0,487000.0,1140000.0,242000.0,666000.0,1155000.0,397000.0,666000.0
DeferredCompensationArrangementWithIndividualCompensationExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62000.0,87000.0,0.0,63000.0,62000.0,0.0,,,,,
FairValueAdjustmentOfWarrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1240000.0,-709000.0,,,2548000.0,-709000.0,-331000.0,-124000.0,-529000.0,5099000.0
GainFromSettlementLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000.0,0.0,0.0,0.0,0.0,0.0,,,,,
GainLossFromExpirationOfWarrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238000.0,1238000.0,,1238000.0,0.0,1238000.0,,,,,
OtherNoncashIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9000.0,,,0.0,9000.0,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518000.0,364000.0,46000.0,595000.0,172000.0,252000.0,-9000.0,582000.0,172000.0,-611000.0,266000.0
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000.0,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2596000.0,-3765000.0,-1391000.0,-3323000.0,-4934000.0,-12203000.0,-2807000.0,-9194000.0,-9093000.0,-4342000.0,-9194000.0
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0,28000.0,8000.0,8000.0,303000.0,28000.0,15000.0,8000.0,42000.0,15000.0,34000.0
PaymentsToAcquireBusinessesNetOfCashAcquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110000.0,-28000.0,0.0,-8000.0,-12000.0,-417000.0,-8000.0,-34000.0,-303000.0,-2000.0,-34000.0
ProceedsFromNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,165000.0,,,,,,,,,
