,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
CapitalLeaseObligationsIncurred,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ProfitLoss,,,,,,,,,,,,,,,,,,1398000.0,-32167000.0,,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,9424000.0,12651000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCosts,,,,,,,,,,,,,,,,,,,1999000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,,,,,,,,,,,,,,,,2338000.0,1739000.0,,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,,,,-70000.0,188000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,,,,,,,15268000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInInventories,,,,,,,,,,,,,,,,,,,9190000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,,,,,,,,,,,-1564000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInDueToAffiliatesCurrent,,,,,,,,,,,,,,,,,,,1153000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccountsPayableTrade,,,,,,,,,,,,,,,,,,,6844000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInAccruedLiabilities,,,,,,,,,,,,,,,,,,,-6233000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOtherNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,-2635000.0,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,,,,,,,,,,,,,,,,-21607000.0,-18890000.0,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,11765000.0,5215000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInRestrictedCash,,,,,,,,,,,,,,,,,,-165000.0,-179000.0,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,,,,,,,,,,,0.0,48000.0,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,,,,,,-10025000.0,-11881000.0,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromUSRevolverGross,,,,,,,,,,,,,,,,,,,78655000.0,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOnUSRevolver,,,,,,,,,,,,,,,,,,72515000.0,97215000.0,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromForeignOverdraftFacilities,,,,,,,,,,,,,,,,,,3556000.0,25430000.0,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOnForeignOverdraftFacilities,,,,,,,,,,,,,,,,,,2498000.0,4637000.0,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromForeignTermLoans,,,,,,,,,,,,,,,,,,1264000.0,1713000.0,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOnForeignLongTermDebt,,,,,,,,,,,,,,,,,,,1374000.0,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOnForeignTermLoans,,,,,,,,,,,,,,,,,,887000.0,1792000.0,,,,,,,,,,,,,,,,,,,,,,,,,
RepaymentsOfLongTermCapitalLeaseObligations,,,,,,,,,,,,,,,,,,395000.0,510000.0,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOfDebtIssuanceCosts,,,,,,,,,,,,,,,,,,1584000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
PaymentsOfDividends,,,,,,,,,,,,,,,,,,12000000.0,5338000.0,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromStockOptionsExercised,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,,,,,,,,,8429000.0,1726000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,,,,,,,,,,,,-2223000.0,-15017000.0,,,,,,,,,,,,,,,,,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,,,,,,,,,,,,,,730000.0,839000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,,,,,,,,,,,,,,,,,2907000.0,2907000.0,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredIncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,524000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IncreaseDecreaseInOperatingCapital,,,,,,,,,,,,,,,,,,12260000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromLinesOfCredit,,,,,,,,,,,,,,,,,,71115000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ProceedsFromDomesticTermLoans,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
