,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
ComprehensiveIncomeNetIncome,,,,,,,17597000.0,55727000.0,87302000.0,7399000.0,25090000.0,-4313000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,-599161.0,-9861709.0,-6998922.0,-19865419.0,2409385.0,875876.0,17555.0,152275.0,-10212676.0,-9705697.0,29481412.0,-15100.0,-7616.0,454651.0,,,,-2224489.0,-13096875.0,,-468982.0,-1425013.0,14685750.0,-42.0,-141950.0,-99216.0,-1915.0,350559.0,,,,,,,
ProceedsFromShareSubscriptions,,,,,,,,,,100000.0,99960.0,70000.0,169960.0,169960.0,,169960.0,0.0,0.0,169960.0,0.0,,,,,,,,,138531.0,,55000.0,,0.0,,0.0,,,,,,,,
ProfitLoss,,,,,,,,,-562630.0,-18969.0,-813488.0,13992917.0,-10789284.0,5750109.0,-56170692.0,-7553594.0,-15340000.0,-33811.0,5570003.0,-110407.0,-448466.0,-2112765.0,330255.0,-10524163.0,1058176.0,769043.0,-1849656.0,-6084317.0,70061000.0,-17708000.0,1269709.0,-11184000.0,-102000.0,-43273.0,-3104000.0,-409685000.0,-5102582.0,510500000.0,85416000.0,-2561756.0,-23350000.0,1150637.0,61207000.0
ComprehensiveIncomeNetOfTax,,,,,,,,,,,-49232.0,-13906.0,-17968454.0,,-15836.0,910493.0,-2150000.0,,,-164737.0,-49779478.0,-183762.0,321814.0,-908619.0,8374000.0,-6726451.0,1407511.0,26304.0,,,,,,-6519912.0,,,,,,,,,
InterestExpense,,,,,,,,,50605.0,6663.0,70603.0,28178.0,0.0,154153.0,124.0,200390.0,,66234.0,398000.0,10.0,,108090.0,21223.0,,,0.0,4216000.0,,0.0,981.0,2253.0,44909.0,63.0,1241454.0,98280.0,1951.0,18414000.0,,2508000.0,95364.0,152952.0,8280000.0,16993000.0
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,,,,,-450276.0,42048.0,0.0,-144543813.0,4100.0,0.0,0.0,0.0,-360000.0,0.0,-360000.0,0.0,-360000.0,0.0,66295.0,1521519.0,27000.0,-128000.0,-431000.0,-834000.0,-78860.0,-198000.0,-1040612.0,0.0,861429.0,-374872.0,-95.0,-141.0,,,,,,,
ContributedExecutiveServices,,,,,,,,,,15000.0,15000.0,525000.0,,555000.0,60000.0,585000.0,,60000.0,30000.0,645000.0,,15000.0,15000.0,45000.0,,60000.0,15000.0,45000.0,,15000.0,30000.0,45000.0,,15000.0,30000.0,15000.0,60000.0,30000.0,45000.0,,15000.0,15000.0,
UnrealizedGainLossOnSecurities,,,,,,,-142000.0,183000.0,4402000.0,221000.0,160000.0,-655000.0,-478000.0,,110969.0,1983000.0,-631000.0,0.0,-707000.0,-408000.0,-54828.0,0.0,-311163.0,27321.0,-248000.0,19718.0,234000.0,2387000.0,,,,,0.0,0.0,0.0,,,,,,,,
OtherGeneralAndAdministrativeExpense,,,,,,,,,,30068.0,0.0,100.0,2965.0,9147.0,120000.0,,22291.0,,,,,,,,,,,,,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,,,,,,,75649.0,743148.0,1111844.0,159426.0,1306000.0,1536119.0,2645000.0,8000.0,499312.0,0.0,22399000.0,5836000.0,1369248.0,1463900.0,1725130.0,,3188050.0,5489000.0,7708923.0,,220806.0,4388902.0,6409818.0,8760000.0,16347000.0,24601000.0,32824000.0,466755.0,24501000.0,106909000.0,732.0,8186000.0,25005000.0,19392.0,35484000.0
AccruedInterestOnRelatedPartyPromissoryNote,,,,,,,,,,,85713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NonCashMineralPropertyExpenditures,,,,,,,,,,0.0,0.0,429675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depletion,,,,,,,,,,0.0,68618.0,66435.0,61000.0,0.0,0.0,1256066.0,0.0,298489.0,0.0,0.0,0.0,0.0,0.0,0.0,117716.0,161112.0,,,,,,,,,,,,,,,,,
GainLossOnSaleOfOtherAssets,,,,,,,,,0.0,57850918.0,57850918.0,0.0,0.0,0.0,57850918.0,57850918.0,0.0,0.0,0.0,0.0,0.0,-7000.0,-376000.0,0.0,0.0,-7000.0,0.0,0.0,,,,0.0,,,-138316.0,,,,,,,,
CommonSharesIssuedForMiningExpensesAndRelatedFindersFees,,,,,,,,,,50000.0,50000.0,0.0,,-790000.0,-30000.0,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConsultingDebtSettlement,,,,,,,,,,,9376.0,,0.0,,9376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfficersCompensation,,,,,,,,,,1000.0,0.0,16706.0,120.0,120.0,757124.0,24447.0,45000.0,17967000.0,17967000.0,7500.0,0.0,0.0,78529.0,,,,,,,,,,,,,,,,,,,,
DepreciationAmortizationAndAccretionNet,,,,,,,,,,298579.0,516169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110403.0,,,,
IncomeTaxExpenseBenefit,,,,,,,,,,94355.0,16043000.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,278.0,0.0,0.0,0.0,1844959.0,0.0,,,,,,,,-5072000.0
NonCashLegalSettlement,,,,,,,,,,2000.0,0.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ResearchAndDevelopmentExpense,,,,,,,,,0.0,123264.0,497290.0,0.0,53374.0,7287214.0,757443.0,167.0,565605.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfLeasedAsset,,,,,,,,,,,5466.0,,,,,,,,,,,,,,,,,,,,238670.0,,,,238670.0,,,,,6087.0,13265.0,3663.0,6087.0
ContributionsToCapitalByRelatedPartiesExpenses,,,,,,,,,,58799.0,3600.0,,,17400.0,58799.0,0.0,0.0,3350.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,127172.0,61000.0,38371.0,57556.0,2033000.0,3078000.0,0.0,14100000.0,0.0,0.0,7800000.0,1757655.0,75162.0,643379.0,543000.0,91027.0,27923.0,3300000.0,,545000.0,19400000.0,8472000.0,,381000.0,14000000.0,775799.0,876237.0,3000000.0,1959.0,5800000.0,0.0,803.0,2505.0,4900000.0,
DueUnderGoldfieldsOption,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GainFromSaleOfInvestment,,,,,,,,,,0.0,0.0,3864197.0,3864197.0,0.0,3864197.0,0.0,0.0,0.0,0.0,0.0,3864197.0,,,,,,,,,,,,,,,,,,,,,,
AbandonedMineralPropertyInterests,,,,,,,,,,277251.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DonatedServicesAndRent,,,,,,,,,,4500.0,9000.0,0.0,0.0,0.0,9000.0,13500.0,28379.0,53517.0,9000.0,95974.0,122495.0,18000.0,35126.0,58595.0,92487.0,4500.0,9000.0,82795.0,187915.0,4500.0,9000.0,13500.0,,,,,,,,,,,
GainLossOnSaleOfStockInSubsidiaryOrEquityMethodInvestee,,,,,,,,,,-4766.0,0.0,,8900.0,0.0,,4155.0,4155.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentForAmortization,,,,,,,,,28216.0,,500.0,290989.0,754340.0,995.0,236594.0,42918.0,11594.0,0.0,15341000.0,9764.0,466000.0,609000.0,25000.0,23549.0,0.0,143000.0,3833.0,143000.0,93000.0,299000.0,2850.0,1064.0,655.0,2523.0,34150000.0,158.0,91432.0,32788000.0,23306.0,,,,100.0
GainLossOnExplorationAdvance,,,,,,,,,,0.0,-325000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WriteOffOfAccountsPayable,,,,,,,,,,0.0,8640.0,8640.0,0.0,779.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnSaleOfEquipment,,,,,,,,,-12895.0,-30098.0,-36722.0,-36721.0,0.0,0.0,-9900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContributionsToCapitalByRelatedParties,,,,,,,,,,0.0,0.0,,0.0,24000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinorityInterestInNetIncomeLossOtherMinorityInterests,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonSharesIssuedForInvestorRelations,,,,,,,,,,0.0,0.0,702000.0,-702000.0,0.0,722000.0,702000.0,,132000.0,0.0,132000.0,,0.0,,0.0,,68000.0,,,0.0,68000.0,,,,,,,,,,,,,
LossFromSaleOfInvestment,,,,,,,,,,0.0,900.0,0.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeferredLeaseholdInducement,,,,,,,,,,,952.0,1914.0,957.0,956.0,-489.0,953.0,957.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NonCashMineralPropertyLosses,,,,,,,,,,0.0,1271201.0,1271201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImpairmentOfIntangibleAssetsFinitelived,,,,,,,,41771000.0,,0.0,0.0,0.0,3411309.0,0.0,0.0,0.0,3411309.0,0.0,-310000.0,3411309.0,3411309.0,0.0,3411309.0,,,0.0,,3411309.0,,,,,,,,,,25000.0,,,,,
GainLossRelatedToLitigationSettlement,,,,,,,,,,5490784.0,5490784.0,0.0,,1200000.0,,,,858194.0,,,,,,,,,,,,-106966.0,0.0,,-106966.0,,,,,,,,,,
DeferredOtherTaxExpenseBenefit,,,,,,,,,,0.0,11678.0,-12562.0,-12673.0,-12636.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
FairValueOptionChangesInFairValueGainLoss,,,,,,,,,,-251159.0,0.0,0.0,,-251159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GainOrLossOnSaleOfStockInSubsidiary,,,,,,,,,86984.0,86984.0,-81000.0,-81000.0,-80000.0,,-3507397.0,0.0,14000.0,-3507397.0,,19775.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
ContributionsToCapitalByRelatedPartyForgivenessOfDebt,,,,,,,,,,0.0,-38950.0,,,-38950.0,-38950.0,0.0,0.0,0.0,-38950.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
AccountsReceivableAndAccruedLiabilities,,,,,,,,,,,12029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,,,,,979709.0,979709.0,76834.0,51663.0,0.0,979709.0,71000.0,0.0,676000.0,979709.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0
