,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
PremiumsEarnedNetPropertyAndCasualty,,,,,,,,,,,,,,,,,,,,,,,,7064000000.0,7204000000.0,7650000000.0,30309000000.0,7426000000.0,7549000000.0,7650000000.0,31307000000.0,7723000000.0,7814000000.0,7869000000.0,31307000000.0,8286000000.0,,,,,,,,
LifeAndAnnuityPremiumsAndContractChargesNetOfReinsuranceCeded,,,,,,,,,,,,,,,,,,,,,,,,607000000.0,1073000000.0,512000000.0,2352000000.0,537000000.0,536000000.0,538000000.0,2157000000.0,566000000.0,564000000.0,571000000.0,2158000000.0,593000000.0,,,,,,,,
NetInvestmentIncome,,,,,,,,,,,,,,,,,,,,,,,,959000000.0,1639000000.0,2680000000.0,8000000.0,850000000.0,762000000.0,748000000.0,3459000000.0,731000000.0,897000000.0,843000000.0,3156000000.0,786000000.0,824000000.0,844000000.0,3401000000.0,786000000.0,1610000000.0,2454000000.0,421000000.0,1590000000.0
ImpairmentOfInvestments,,,,,,,,,,,,,,,,,,,,,,,,80000000.0,100000000.0,177000000.0,452000000.0,53000000.0,100000000.0,286000000.0,452000000.0,91000000.0,168000000.0,241000000.0,452000000.0,0.0,47000000.0,26000000.0,13000000.0,313000000.0,12000000.0,16000000.0,,
OtherThanTemporaryImpairmentLossesInvestmentsPortionInOtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,-8000000.0,-20000000.0,8000000.0,-4000000.0,-4000000.0,-12000000.0,-10000000.0,-10000000.0,-2000000.0,0.0,-4000000.0,1000000.0,0.0,1000000.0,-10000000.0,1000000.0,1000000.0,1000000.0,,
OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNet,,,,,,,,,,,,,,,,,,,,,,,,81000000.0,92000000.0,266000000.0,215000000.0,81000000.0,92000000.0,266000000.0,303000000.0,81000000.0,160000000.0,233000000.0,150000000.0,1000000.0,5000000.0,10000000.0,303000000.0,14000000.0,29000000.0,10000000.0,,
OtherRealizedCapitalGainsAndLosses,,,,,,,,,,,,,,,,,,,,,,,,188000000.0,339000000.0,347000000.0,809000000.0,-68000000.0,35000000.0,141000000.0,446000000.0,193000000.0,324000000.0,455000000.0,595000000.0,,,,213000000.0,213000000.0,,,,
RealizedInvestmentGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,54000000.0,247000000.0,294000000.0,594000000.0,139000000.0,-125000000.0,-92000000.0,0.0,-149000000.0,81000000.0,103000000.0,30000000.0,134000000.0,-159000000.0,17000000.0,-877000000.0,445000000.0,-25000000.0,1183000000.0,-462000000.0,986000000.0
Revenues,,,,,,,,,,,,,,,,,,,,,,,,8684000000.0,8860000000.0,26480000000.0,8759000000.0,8871000000.0,8982000000.0,9028000000.0,9028000000.0,9434000000.0,19021000000.0,28681000000.0,35653000000.0,9770000000.0,9813000000.0,9888000000.0,10465000000.0,9770000000.0,10099000000.0,10465000000.0,10990000000.0,21273000000.0
IncurredClaimsPropertyCasualtyAndLiability,,,,,,,,,,,,,,,,,,,,,,,,4759000000.0,10580000000.0,5255000000.0,21034000000.0,4993000000.0,11585000000.0,17138000000.0,21034000000.0,5416000000.0,11105000000.0,16650000000.0,21034000000.0,5149000000.0,10941000000.0,16758000000.0,21929000000.0,22778000000.0,5777000000.0,18227000000.0,5341000000.0,12176000000.0
