,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,1027248.0,1811072.0,2619188.0,872806.0,1617220.0,783824.0,,872806.0,,3180675.0,1462011.0,2782715.0,,6026404.0,2952351.0,4602802.0,4245033.0,932173.0
SellingGeneralAndAdministrativeExpense,,,,,,,,,,,,,,312615.0,554894.0,841347.0,1102258.0,252919.0,248258.0,841347.0,1179013.0,252919.0,504299.0,787530.0,1413634.0,323760.0,525916.0,308588.0,1067777.0,250172.0,442533.0,252399.0,839.0,2887.0,25983.0,6128.0,2933804.0,2887.0,,95270.0,2933804.0,1000.0,2554127.0,2990749.0
LaborAndRelatedExpense,,,,,,,,,1945327.0,2926554.0,,3230407.0,,,,,,,,,,,,,,,,,28708.0,43899.0,2678.0,25465.0,73648.0,1873.0,,,14000.0,,,182739.0,107155.0,0.0,,
ShareBasedCompensation,,,,,,,,,,,,,,,,,2708.0,128864.0,,15234.0,21010.0,5840.0,11664.0,,150610.0,17709.0,969707.0,17709.0,150610.0,105293.0,253063.0,124101.0,,502000.0,,124101.0,248937.0,442871.0,,479182.0,163644.0,0.0,,
Revenues,,,,,,,,,,339063.0,0.0,1328311.0,445592.0,656764.0,214054.0,0.0,1006162.0,378168.0,2916341.0,491458.0,,29908.0,65615.0,147651.0,598345.0,113559.0,778075.0,161331.0,,,628490.0,2207272.0,1575620.0,,,2079743.0,2875972.0,8750610.0,185869.0,,,,3200767.0,2083160.0
DepreciationAndAmortization,,,,,,,,,,,,,,6179.0,11063.0,5703.0,9182.0,39196.0,40424.0,64589.0,34310.0,180490.0,41008.0,41674.0,144648.0,138170.0,14900.0,43232.0,183767.0,737.0,120671.0,7302.0,,300752.0,,300752.0,508186.0,254305.0,7734.0,1017262.0,1575.0,764684.0,254931.0,509841.0
MarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10143.0,,2675.0,,10143.0,,,,,,,,,,,
TravelExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12100.0,3015.0,44039.0,19363.0,26473.0,9137.0,,,,,,,,,,
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,107982.0,316888.0,389556.0,,,81250.0,,921.0,,,,,,,,,1884793.0,,,4450.0,,,
GrossProfit,,,,,,,,,,,,0.0,,297404.0,307440.0,687713.0,803382.0,131167.0,211704.0,153163.0,727790.0,-163971.0,442872.0,1710.0,7796.0,,,,,,,846.0,-1248635.0,2224.0,,,-472751.0,,,-100892.0,,337080.0,-426012.0,398138.0
