,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
SalesRevenueNet,,,,,,,,,,,,,88595000.0,357073000.0,162583000.0,85450000.0,329657000.0,169471000.0,,156139000.0,173518000.0,497969000.0,,151453000.0,412272000.0,629948000.0,,193170000.0,241368000.0,238870000.0,,239852000.0,463887000.0,702757000.0,,239852000.0,279478000.0,285235000.0,,271586000.0,,,,
CostOfGoodsSold,,,,,,,,,,,,,50468000.0,105399000.0,172698000.0,26122000.0,64999000.0,152626000.0,,43349000.0,101501000.0,152626000.0,,43349000.0,117346000.0,178022000.0,,59020000.0,121137000.0,184981000.0,,64236000.0,142960000.0,224810000.0,,73005000.0,81917000.0,82082000.0,,73005000.0,,,,
LaborAndRelatedExpense,,,,,,,,,,,,,27457000.0,53494000.0,109155000.0,27868000.0,104332000.0,53494000.0,,50667000.0,104332000.0,156727000.0,,50937000.0,130019000.0,197135000.0,,72083000.0,73545000.0,75678000.0,,81071000.0,169019000.0,260559000.0,,91144000.0,188098000.0,283489000.0,,91144000.0,121140000.0,131070000.0,124575000.0,121140000.0
OperatingLeasesRentExpenseNet,,,,,,,,,,,,,7979000.0,23169000.0,37883000.0,5683000.0,11869000.0,25824000.0,,11709000.0,11626000.0,12205000.0,,11438000.0,23064000.0,35269000.0,,14424000.0,14571000.0,14106000.0,,15878000.0,16118000.0,16081000.0,,19974000.0,18892000.0,19574000.0,,19974000.0,19879000.0,20259000.0,29454000.0,48606000.0
OtherCostAndExpenseOperating,,,,,,,,,,,,,26476000.0,60684000.0,88883000.0,26236000.0,27547000.0,26973000.0,,26025000.0,53783000.0,80756000.0,,26025000.0,53085000.0,82264000.0,,32492000.0,37316000.0,37606000.0,,39195000.0,73005000.0,110611000.0,,42839000.0,81105000.0,123989000.0,,42839000.0,44589000.0,45510000.0,57978000.0,101913000.0
MarketingAndAdvertisingExpense,,,,,,,,,,,,,3698000.0,16213000.0,22257000.0,7094000.0,15020000.0,22496000.0,,6543000.0,7284000.0,20621000.0,,6543000.0,7284000.0,6794000.0,,7283000.0,15363000.0,23551000.0,,9128000.0,19898000.0,30755000.0,,11265000.0,21332000.0,33025000.0,,11265000.0,23621000.0,35741000.0,13876000.0,28292000.0
GeneralAndAdministrativeExpense,,,,,,,,,,,,,14279000.0,20561000.0,19210000.0,9078000.0,8081000.0,27342000.0,,10267000.0,9524000.0,10031000.0,,,8625000.0,10031000.0,,13206000.0,27561000.0,13000000.0,,15576000.0,14411000.0,14699000.0,,16136000.0,32156000.0,49758000.0,,19724000.0,40344000.0,61709000.0,19724000.0,39368000.0
DepreciationDepletionAndAmortization,,,,,,,,,,,,,11039000.0,14714000.0,26321000.0,4693000.0,8391000.0,7695000.0,,8063000.0,8391000.0,27121000.0,,,17803000.0,27121000.0,,10005000.0,9793000.0,9418000.0,,11057000.0,26517000.0,40172000.0,,14250000.0,13366000.0,13655000.0,,15292000.0,14621000.0,14555000.0,21031000.0,32413000.0
ImpairmentAndOtherLeaseCharges,,,,,,,,,,,,,,,,,127000.0,252000.0,,630000.0,2198000.0,1822000.0,,1630000.0,2336000.0,2732000.0,,222000.0,508000.0,1193000.0,,531000.0,508000.0,1193000.0,,309000.0,432000.0,1039000.0,,910000.0,1277000.0,1777000.0,2881000.0,367000.0
OtherOperatingIncomeExpenseNet,,,,,,,,,,,,,,,,,,,,,,,,-40000.0,-25000.0,0.0,,-40000.0,166000.0,0.0,,0.0,-29000.0,0.0,,,0.0,434000.0,,0.0,0.0,434000.0,2129000.0,-376000.0
OperatingExpenses,,,,,,,,,,,,,208584000.0,358109000.0,345499000.0,161923000.0,121411000.0,168103000.0,,157937000.0,335913000.0,504016000.0,,157937000.0,404376000.0,610301000.0,,215839000.0,206744000.0,205925000.0,,241258000.0,227472000.0,276551000.0,,241258000.0,508401000.0,784952000.0,,295957000.0,662413000.0,1065873000.0,295957000.0,
