,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154632000.0,,,,,,
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61096000.0,16567000.0,33313000.0,49177000.0,66130000.0,32835000.0,49177000.0
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70073000.0,22258000.0,44239000.0,67411000.0,75105000.0,23469000.0,70688000.0
ResearchAndDevelopmentExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23706000.0,7412000.0,8047000.0,7746000.0,31064000.0,17618000.0,21887000.0
SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35482000.0,8052000.0,16650000.0,23814000.0,35482000.0,10953000.0,29682000.0
GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42178000.0,6156000.0,12989000.0,19702000.0,27213000.0,6833000.0,7559000.0
OperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110076000.0,21620000.0,50677000.0,84805000.0,108684000.0,22846000.0,25563000.0
OperatingIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32740000.0,-3110000.0,-2405000.0,-10956000.0,-38611000.0,-4749000.0,-380000.0
InterestIncomeExpenseNonoperatingNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4159000.0,-1423000.0,-891000.0,-689000.0,-4159000.0,-891000.0,-1986000.0
OtherNonoperatingIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62000.0,-125000.0,-127000.0,4000.0,-319000.0,255000.0,-408000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32776000.0,-5581000.0,-9895000.0,-12669000.0,-42832000.0,-4290000.0,-9497000.0
IncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335000.0,-324000.0,739000.0,969000.0,-3285000.0,141000.0,182000.0
NetIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33111000.0,-5257000.0,-10634000.0,-13638000.0,-28207000.0,-4629000.0,-2380000.0
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.93,-0.15,-0.18,-0.09,-1.38,-0.18,-0.07
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27379000.0,29401000.0,31741000.0,32028000.0,30370000.0,31741000.0,32596000.0
RevenueFromContractWithCustomerExcludingAssessedTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35077000.0,39234000.0,39617000.0,154632000.0,39952000.0,119596000.0
