,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
SalesRevenueNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
ResearchAndDevelopmentExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616000.0,1496000.0,683000.0,5469000.0,6801000.0,9728000.0,1237000.0,5031000.0,6801000.0,3206000.0,2099000.0
GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1338000.0,4090000.0,1392000.0,1649000.0,2987000.0,4090000.0,1392000.0,1220000.0,3859000.0,1591000.0,3075000.0
DepreciationDepletionAndAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,18000.0,8000.0,5000.0,5000.0,68000.0,48000.0,49000.0,11000.0,48000.0,98000.0
OperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2404000.0,8653000.0,1535000.0,1320000.0,2404000.0,15025000.0,4571000.0,8095000.0,10687000.0,5062000.0,8203000.0
OperatingIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1422000.0,-8653000.0,-2637000.0,-2856000.0,-5260000.0,-15025000.0,-2637000.0,-8095000.0,-10687000.0,-4571000.0,-10096000.0
FairValueAdjustmentOfWarrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060000.0,1240000.0,-1059000.0,,,2548000.0,-529000.0,-2407000.0,-1614000.0,-3845000.0,-2936000.0
GainFromSettlementLiability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000.0,0.0,149000.0,149000.0,149000.0,0.0,,,,,
GainLossFromExpirationOfWarrants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1238000.0,,,,,
OtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.0,0.0,,,,,,,,,
InterestExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,0.0,,,,,,,,,
NetIncomeLoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1432000.0,-3926000.0,-1927000.0,-7052000.0,-2866000.0,-11876000.0,-4041000.0,-1221000.0,-2038000.0,-1209000.0,-1221000.0
EarningsPerShareBasicAndDiluted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28,-0.4,-0.02,-0.29,-0.37,-0.46,-0.08,-0.2,-0.08,-0.14,-0.15
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9066804.0,18569193.0,23331685.0,24617372.0,17683441.0,25904170.0,23331685.0,35765790.0,26861497.0,49930997.0,59483267.0
UnrealizedGainLossOnDerivatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040000.0,1614000.0,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000.0,8000.0,9000.0,,0.0,5000.0,0.0,17000.0
InterestIncomeExpenseNet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,4000.0,-2000.0,4000.0,1000.0,4000.0,1000.0,1000.0,7000.0
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,21000.0,0.0,-11000.0,6000.0,-16000.0,-11000.0,25000.0
ComprehensiveIncomeNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5119000.0,-2023000.0,-11841000.0,-4052000.0,-5119000.0,-9424000.0,-4052000.0,-11329000.0
OtherNonoperatingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
IncomeLossAttributableToParent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9091000.0,,
IncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-229000.0,,
