,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
SalesRevenueNet,,,,,,,,,,,,,,,,,,71892000.0,251459000.0,,,,,,,,,,,,,,,,,,,,,,,,,
CostOfGoodsSold,,,,,,,,,,,,,,,,,,148370000.0,182682000.0,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,,,,,,,,,,,,,,,,,,42544000.0,68777000.0,,,,,,,,,,,,,,,,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,33207000.0,47386000.0,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncomeLoss,,,,,,,,,,,,,,,,,,4021000.0,22487000.0,,,,,,,,,,,,,,,,,,,,,,,,,
InvestmentIncomeInterest,,,,,,,,,,,,,,,,,,10000.0,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,,,,,,,,,,,,,,,,,,17560000.0,20184000.0,,,,,,,,,,,,,,,,,,,,,,,,,
OtherNonoperatingIncomeExpense,,,,,,,,,,,,,,,,,,36000.0,-728000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,,,,,,,,,,,,,,,1923000.0,-10981000.0,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeTaxExpenseBenefit,,,,,,,,,,,,,,,,,,435000.0,-15841000.0,,,,,,,,,,,,,,,,,,,,,,,,,
ProfitLoss,,,,,,,,,,,,,,,,,,-7471000.0,-8834000.0,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLossAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,920000.0,-294000.0,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeLoss,,,,,,,,,,,,,,,,,,-2832000.0,294000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AmortizationOfIntangibleAssets,,,,,,,,,,,,,,,,,,704000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ManagementFees,,,,,,,,,,,,,,,,,,563000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
