,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q2,2020q3
OilAndGasSalesRevenue,,,,,,,,,347081.0,1032983.0,253350.0,377151.0,347081.0,1886765.0,253350.0,380181.0,1004998.0,504029.0,190592.0,998312.0,470388.0,2713947.0,137901.0,385318.0,763303.0,,371686.0,71907.0,79629.0,,371686.0,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,,,,,,,,,,0.0,2600000.0,0.0,,,,,,-425129.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
OperatorIncome,,,,,,,,,0.0,0.0,20250.0,20250.0,60750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalesRevenueNet,,,,,,,,,1071888.0,22604645.0,148820.0,25723902.0,47129641.0,0.0,125715.0,17240342.0,0.0,65622.0,8068000.0,0.0,0.0,9026325.0,123014080.0,17240342.0,112597.0,2983741.0,151005.0,16691.0,2750190.0,82849.0,3500516.0,30503.0,139605.0,307647.0,292508.0,42433.0,0.0,,,,,,,
ApplicableIncomeTaxes,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SalesRevenueServicesNet,,,,,,,,,194160000.0,,1124617.0,1897710.0,1022921.0,3983789.0,1124617.0,230505000.0,430268000.0,3790000.0,1063867.0,946000.0,2312000.0,1365000.0,6022000.0,810682.0,536046000.0,7549000.0,17193000.0,35058000.0,536046000.0,3337813.0,892229.0,781878.0,897475.0,49554.0,105976.0,78701.0,2202.0,255949.0,,,,,,
GoldProductsAndServicesRevenue,,,,,,,,,6067.0,0.0,0.0,0.0,437122.0,311235.0,0.0,9457245.0,,,70556.0,,10472448.0,,411152.0,,,,745538.0,,,,828559.0,,,,745538.0,,,,,,,,,
OtherSalesRevenueNet,,,,,,,,,85913.0,1375728.0,0.0,0.0,0.0,717558.0,433000.0,918.0,433000.0,1375728.0,1375728.0,1375728.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,16507000.0,,,,,,,,,
CostOfGoodsSold,,,,,,,,,5838302.0,4480918.0,17977538.0,6082778.0,2472094.0,5299920.0,32675610.0,60885990.0,12240442.0,11721181.0,102609.0,447569.0,522762000.0,8614755.0,952.0,6861157.0,42809448.0,1632.0,63543.0,320413000.0,1790713.0,743624000.0,3234840.0,0.0,2951944.0,9642803.0,1134506000.0,0.0,0.0,274243000.0,,,,,,
InterestRevenueExpense,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,246728.0,,,,,,,,
OilAndGasRevenue,,,,,,,,,703079.0,0.0,1133766.0,3391.0,327685.0,50242.0,210842.0,1653688.0,0.0,0.0,1357762.0,374342.0,616158.0,251481.0,0.0,0.0,231847.0,,86936.0,92157.0,114292.0,,452686.0,,,,,,,,,,,,,
SalesRevenueEnergyServices,,,,,,,,,571646.0,629582.0,361876.0,,1274790.0,1571693.0,0.0,32119.0,4886839.0,17542568.0,26986049.0,32119.0,0.0,17542568.0,32119.0,8375746.0,14161134.0,6649120.0,11810.0,14014.0,14000746.0,6854109.0,31142012.0,14014.0,0.0,14315.0,31142012.0,,,,,,,,,
SalesRevenueServicesGross,,,,,,,,,400433.0,3834351.0,1219421.0,225035.0,257195.0,247810.0,4149680.0,1219421.0,276300.0,1219421.0,4759730.0,,1211967.0,1130366.0,1141411.0,,1153223.0,1276210.0,3781237.0,,414695.0,718568.0,1165051.0,,1613943.0,612079.0,1230978.0,,1327124.0,,,,,,,
InternetAcceleratorSoftware,,,,,,,,,,79591.0,47279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirectOperatingCosts,,,,,,,,,,56481.0,56481.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ContributedExecutiveServices,,,,,,,,,,15000.0,15000.0,30000.0,,60000.0,60000.0,45000.0,,60000.0,30000.0,15000.0,,60000.0,15000.0,15000.0,,15000.0,15000.0,15000.0,,15000.0,30000.0,15000.0,,60000.0,30000.0,15000.0,,60000.0,15000.0,45000.0,,15000.0,45000.0,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,,,,,,,,1327867.0,360674.0,1433738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DonatedCapital,,,,,,,,,,13000.0,0.0,4500.0,0.0,95881.0,,0.0,4500.0,95881.0,4500.0,137379.0,,,,,,,,,,,,,,,,,,,,,,,,
SalesDiscountsServices,,,,,,,,,,145500.0,409605.0,,,8656.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherAlternativeEnergySalesRevenue,,,,,,,,,38339.0,30484.0,22099.0,,87764.0,98148.0,298748.0,98330.0,184567.0,93425.0,400743.0,98330.0,85837.0,87885.0,372521.0,100868.0,179972.0,255710.0,357902.0,92454.0,166810.0,255710.0,339663.0,92454.0,74356.0,245741.0,357902.0,,,,,,,,,
CostOfGoodsAndServicesSold,,,,,,,,,201229.0,60324.0,1032488.0,0.0,0.0,0.0,1329192.0,3854829.0,0.0,1495275.0,848585.0,0.0,582000.0,3291862.0,40000.0,1030000.0,829039.0,3385000.0,3673895.0,1042999.0,1716179.0,,,31686457.0,6854567.0,13066894.0,175441.0,47714817.0,4686741.0,5705823.0,373000.0,277069000.0,142477.0,5959430.0,1153340.0,563481000.0
NonRefundableDeposit,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdjustmentToAssetRetirementObligationOnChangesInCashFlowEstimates,,,,,,,,,223583.0,0.0,0.0,223583.0,0.0,0.0,223583.0,99220.0,0.0,99220.0,0.0,99220.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
SalesOfConcentrate,,,,,,,,,601168.0,601168.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExplorationMiningPropertyChina,,,,,,,,,,0.0,0.0,20000.0,20000.0,20000.0,20000.0,,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExplorationAndProductionCosts,,,,,,,,,,,297656.0,,56586.0,,79635.0,82685.0,240432.0,,452142.0,188250.0,157999.0,0.0,,,,,,,,,,,,,,,,,,,,,,
PaymentsToAcquireSoftware,,,,,,,,,,-52336.0,-83646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalizedComputerSoftwareAmortization,,,,,,,,,,,-1994.0,-1994.0,-499.0,-1246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestAndFeeIncomeLoansAndLeases,,,,,,,,,45012.0,90024.0,45012.0,,0.0,,,,6613000.0,,,,33560000.0,,,,6613000.0,,,,47117000.0,,,,47117000.0,,,,47117000.0,53894000.0,,,,,,
OperatingCostsAndExpenses,,,,,,,,,,,8127.0,2422959.0,108614.0,2424013.0,,3311.0,2423111.0,0.0,,2251923.0,,,,,,,,,,,,,,,,,,,,,,,,
ContractsRevenue,,,,,,,,,767252.0,456409.0,161305.0,2015304.0,356040.0,0.0,769084.0,,,,,,,,,,,3578000.0,,,,,,,,,,,,,,,,,,
BankChargesAndInterest,,,,,,,,,,,4645.0,,,,,,918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,,,,,,,17740000.0,58987000.0,620947.0,243615.0,1223494.0,827320.0,9472.0,295589.0,2028292.0,3761220.0,13064966.0,3189614.0,82176000.0,121916000.0,22839000.0,1861053.0,40824000.0,2448302.0,952000.0,1595313.0,36248000.0,891000.0,145886000.0,1331872.0,1000020.0,122366000.0,345178.0,963000.0,1183458.0,550202.0,132623.0,43934000.0,93326000.0,2151154.0,124331.0,202673.0,63818.0,3450193.0
DepreciationDepletionAndAmortization,,,,,,,,,489987.0,743148.0,1111844.0,768329.0,408336.0,10350.0,17809000.0,1526110.0,972501.0,2778624.0,20226000.0,1590029.0,10849000.0,8000.0,20530000.0,,,,,,,,,1613521.0,,,,8180000.0,,,,732.0,,,255.0,
OilAndGasProductionExpense,,,,,,,,,108422.0,1814456.0,261846.0,526143.0,123121.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ManagementFeesRevenue,,,,,,,,,,62500.0,268601.0,23242.0,31737.0,16532.0,0.0,,16532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestAndDividendIncomeOperating,,,,,,,,,,3084000.0,4434000.0,5950000.0,46617.0,1997000.0,3817000.0,5981000.0,8576000.0,3091000.0,5680000.0,3438000.0,12083000.0,3319000.0,6555000.0,3438000.0,,,,,,,,,,,,,,,,,,,,
DepletionOfOilAndGasProperties,,,,,,,,,,,121136.0,,82594.0,293878.0,117598.0,38934.0,144002.0,696487.0,117598.0,200016.0,82517.0,48146.0,80841.0,160355.0,183001.0,,4680.0,84334.0,15369.0,,604591.0,,,,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,-824224.0,-8442306.0,1213913.0,402276.0,1180898.0,-1832050.0,-6575406.0,611949.0,-4141552.0,0.0,-2748999.0,-5747376.0,1672861.0,2760672.0,0.0,-101749.0,1634681.0,,,,,,,,,,,,,,,,,,,
AdvertisingExpense,,,,,,,,,,49998.0,52367.0,5828.0,0.0,688575.0,25272.0,8438.0,577105.0,215099.0,23416.0,36989.0,0.0,5032.0,83744.0,49364.0,,184039.0,,,,,,,,,,,,,,15644.0,,,,
BusinessDevelopment,,,,,,,,,151480.0,315197.0,24843.0,657.0,62861.0,339171.0,181261.0,10797.0,135808.0,195000.0,487609.0,310937.0,661000.0,8000.0,669000.0,81.0,23683.0,8000.0,13118270.0,4000.0,50000.0,80000.0,,,,,8282000.0,,,,,,,,,
ContentServices,,,,,,,,,,0.0,6470.0,,0.0,6470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
