,2019q2,2018q4,2019q3,2019q1,2019q4
Revenues,409200000.0,1382400000.0,493300000.0,,489400000.0
CostOfRevenue,289900000.0,1003400000.0,628200000.0,,970000000.0
SellingGeneralAndAdministrativeExpense,85000000.0,222100000.0,89600000.0,267400000.0,86900000.0
RestructuringCharges,5900000.0,300000.0,21200000.0,12300000.0,11500000.0
OperatingIncomeLoss,30000000.0,84700000.0,77000000.0,143800000.0,125600000.0
PensionExpense,500000.0,-300000.0,500000.0,-2400000.0,0.0
InterestIncomeExpenseNet,-3300000.0,-10300000.0,-7100000.0,,-13400000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2000000.0,33200000.0,68500000.0,94000000.0,42200000.0
IncomeTaxExpenseBenefit,400000.0,12200000.0,8300000.0,26000000.0,8700000.0
IncomeLossFromContinuingOperations,19700000.0,26400000.0,53700000.0,42900000.0,87200000.0
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,0.0,-300000.0,-300000.0,400000.0,0.0
NetIncomeLoss,1200000.0,61200000.0,53400000.0,19400000.0,86900000.0
IncomeLossFromContinuingOperationsPerBasicShare,0.05,0.83,1.69,1.35,1.05
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,-0.01,-0.04,-0.01,-0.05,-0.01
EarningsPerShareBasic,0.62,0.81,1.06,2.56,1.05
IncomeLossFromContinuingOperationsPerDilutedShare,0.62,1.91,1.68,1.34,0.82
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,-0.01,-0.02,-0.01,-0.01,0.0
EarningsPerShareDiluted,0.61,1.93,1.04,2.27,1.9
ResearchAndDevelopmentExpense,,6900000.0,,,
OtherOperatingIncomeExpenseNet,,-3400000.0,,,
CommonStockDividendsPerShareDeclared,,0.3,,0.4,
RevenueFromContractWithCustomerExcludingAssessedTax,,,,1350500000.0,
InterestExpense,,,,9400000.0,
WeightedAverageNumberOfSharesOutstandingBasic,,,,30000000.0,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,32300000.0,
