,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,2207000.0,4975000.0,4286000.0,2164000.0,6796000.0
DepreciationDepletionAndAmortization,332000.0,902000.0,662000.0,1121000.0,993000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments,-496000.0,-1433000.0,-965000.0,-881000.0,-1373000.0
AmortizationOfDeferredLoanOriginationFeesNet,-167000.0,233000.0,78000.0,105000.0,-25000.0
AmortizationOfMortgageServicingRightsMSRs,66000.0,180000.0,119000.0,234000.0,181000.0
ServicingAssetAtFairValueAdditions,-56000.0,-159000.0,-98000.0,-208000.0,-159000.0
MortgageServicingRightsMSRImpairmentRecovery,-3000.0,,0.0,0.0,0.0
ProvisionForLoanAndLeaseLosses,310000.0,197000.0,705000.0,1174000.0,197000.0
EmployeeStockOwnershipPlanESOPCompensationExpense,207000.0,,437000.0,851000.0,651000.0
ShareBasedCompensation,283000.0,788000.0,553000.0,0.0,804000.0
GainLossOnSalesOfLoansNet,87000.0,139000.0,150000.0,234000.0,139000.0
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,122000.0,136000.0,57000.0,50000.0,57000.0
LifeInsuranceCorporateOrBankOwnedChangeInValue,149000.0,495000.0,298000.0,595000.0,448000.0
PaymentsForOriginationAndPurchasesOfLoansHeldForSale,5640000.0,16054000.0,10432000.0,10977000.0,25050000.0
ProceedsFromSaleOfLoansHeldForSale,6595000.0,17107000.0,8091000.0,34410000.0,23825000.0
IncreaseDecreaseInAccruedInterestReceivableNet,66000.0,483000.0,46000.0,303000.0,-322000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,3916000.0,412000.0,3606000.0,-428000.0,3567000.0
IncreaseDecreaseInInterestPayableNet,-242000.0,13000.0,49000.0,196000.0,35000.0
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,6949000.0,2043000.0,1406000.0,142000.0,6767000.0
NetCashProvidedByUsedInOperatingActivities,5646000.0,11914000.0,8362000.0,4959000.0,11041000.0
PaymentsToAcquireAvailableForSaleSecurities,12935000.0,63046000.0,0.0,123194000.0,9456000.0
ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,9077000.0,46110000.0,13348000.0,28467000.0,20164000.0
ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,32859000.0,,3558000.0,20550000.0,3558000.0
ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,434000.0,2542000.0,5433000.0,1613000.0,5756000.0
PaymentsForProceedsFromFederalHomeLoanBankStock,-634000.0,-697000.0,-502000.0,-35000.0,-697000.0
ProceedsfromSaleofRealEstateOwnedandRepossessedAssets,31000.0,194000.0,46000.0,3591000.0,0.0
PaymentsForProceedsFromLoansAndLeases,19845000.0,36871000.0,42958000.0,86134000.0,61274000.0
PaymentsToAcquirePropertyPlantAndEquipment,954000.0,2714000.0,131000.0,2060000.0,188000.0
NetCashProvidedByUsedInInvestingActivities,-13336000.0,-40778000.0,10692000.0,-39392000.0,46368000.0
IncreaseDecreaseInDeposits,12495000.0,56861000.0,8294000.0,76123000.0,46573000.0
IncreaseDecreaseInLoansFromOtherFederalHomeLoanBanks,-21151000.0,45774000.0,-5215000.0,,-51228000.0
IncreaseDecreaseInAdvancePaymentsByBorrowersForTaxesAndInsurance,1064000.0,620000.0,161000.0,-138000.0,786000.0
PaymentsOfDividends,0.0,,0.0,0.0,0.0
PaymentsForRepurchaseOfCommonStock,3385000.0,6929000.0,4853000.0,16549000.0,6929000.0
NetCashProvidedByUsedInFinancingActivities,-28044000.0,97463000.0,-16555000.0,36910000.0,-27251000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,1334000.0,,-13917000.0,,30158000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,36801000.0,,36801000.0,,56481000.0
InterestPaidNet,1989000.0,4285000.0,6151000.0,5140000.0,6251000.0
DebtSecuritiesAvailableForSaleUnrealizedGainLoss,2030000.0,-5481000.0,4286000.0,,-5481000.0
ForeclosedLoansTransfertoRealEstateOwnedandRepossessedAssets,74000.0,154000.0,160000.0,1352000.0,271000.0
GainLossonSaleofRealEstateOwnedandRepossessedAssets,,0.0,,,
EmployeeStockOwnershipPlanESOPAllocationofSharesCompensationExpense,,651000.0,,,
HeldtomaturitySecuritiesSoldSecurityRealizedGainLossExcludingOtherThanTemporaryImpairments,,27000.0,,0.0,
BankOwnedLifeInsuranceIncome,,0.0,,0.0,
ProceedsFromSaleOfAvailableForSaleSecurities,,17239000.0,,,
ProceedsFromSaleOfHeldToMaturitySecurities,,2702000.0,2702000.0,0.0,2702000.0
PaymentsForRepurchaseOfEquity,,293000.0,,294000.0,293000.0
CashAndCashEquivalentsPeriodIncreaseDecrease,,2359000.0,,12509000.0,
CashAndCashEquivalentsAtCarryingValue,,22650000.0,,45030000.0,
IncomeTaxesPaid,,845000.0,,2506000.0,
HeldToMaturitySecuritiesSoldSecurityRealizedGainLoss,,,0.0,,0.0
IncomeTaxesPaidNet,,,990000.0,,1210000.0
GainLossOnSaleOfRealEstateOwnedAndRepossessedAssetsNet,,,,546000.0,
DeferredIncomeTaxExpenseBenefit,,,,-352000.0,
PaymentsToAcquireLifeInsurancePolicies,,,,10000000.0,
ProceedsFromFederalHomeLoanBankAdvances,,,,689711000.0,
PaymentsForFederalHomeLoanBankAdvances,,,,293890000.0,
RepaymentsOfNotesPayable,,,,0.0,
PaymentsforRepurchaseofEmployeeStockOwnershipPlanValue,,,,0.0,
AvailableforsaleSecuritiesGrossUnrealizedGainLoss1,,,,-1324000.0,
