filed,adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,accepted,prevrpt,detail,instance,nciks,aciks,yr,fik,quarter
20181108,0001597672-18-000050,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,10-Q,20180930,2018.0,Q3,2018-11-08 16:28:00.0,0,1,ryam-20180929.xml,1,,18,50,2018q4
20190301,0001597672-19-000008,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,1,1231.0,10-K,20181231,2018.0,FY,2019-03-01 15:52:00.0,0,1,ryam-20181231.xml,1,,19,8,2019q1
20190509,0001597672-19-000012,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,10-Q,20190331,2019.0,Q1,2019-05-09 15:00:00.0,0,1,ryam-20190330.xml,1,,19,12,2019q2
20190807,0001597672-19-000040,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,10-Q,20190630,2019.0,Q2,2019-08-07 16:58:00.0,0,1,ryam2019q210-q_htm.xml,1,,19,40,2019q3
20190814,0001597672-19-000042,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,,0,1231.0,8-K,20190731,2019.0,Q3,2019-08-14 16:35:00.0,0,0,ryamform8kpreferredsto_htm.xml,1,,19,42,2019q3
20190906,0001597672-19-000044,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,,0,1231.0,8-K,20190831,2019.0,Q3,2019-09-06 17:00:00.0,0,0,ryamform8kcommonstockd_htm.xml,1,,19,44,2019q3
20191010,0001597672-19-000046,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,8-K,20190930,2019.0,Q3,2019-10-10 14:18:00.0,0,0,ryamform8kpriceincreas_htm.xml,1,,19,46,2019q4
20191104,0001597672-19-000049,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,8-K,20191031,2019.0,FY,2019-11-04 17:08:00.0,0,0,a2019pr8-kshellryamq3_htm.xml,1,,19,49,2019q4
20191106,0001597672-19-000051,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,8-K,20191031,2019.0,FY,2019-11-06 13:19:00.0,0,0,ryamform8kmatane_htm.xml,1,,19,51,2019q4
20191107,0001597672-19-000054,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,10-Q,20190930,2019.0,Q3,2019-11-07 16:35:00.0,0,1,ryam2019q310-q_htm.xml,1,,19,54,2019q4
20191118,0001597672-19-000056,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,8-K,20191130,2019.0,FY,2019-11-18 16:40:00.0,0,0,ryamform8kinvestorpres_htm.xml,1,,19,56,2019q4
20191204,0001597672-19-000058,1597672,RAYONIER ADVANCED MATERIALS INC.,2820.0,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,(904) 357-4600,US,FL,JACKSONVILLE,32207,1301 RIVERPLACE BOULEVARD,SUITE 2300,US,DE,464559529.0,RAYONIER HOLDING CO,20140121.0,1-LAF,0,1231.0,8-K,20191130,2019.0,FY,2019-12-04 14:13:00.0,0,0,ryamform8kenhancements_htm.xml,1,,19,58,2019q4
