,2019q2,2018q4,2019q3,2019q4
DebtInstrumentUnamortizedDiscount,0.0,35000.0,0.0,698547.0
LimitedPartnersCapitalAccountUnitsAuthorized,25000.0,25000.0,25000.0,25000.0
AllowanceForDoubtfulOtherReceivablesCurrent,239000.0,,,
TemporaryEquityParOrStatedValuePerShare,0.001,0.001,0.001,
HeldToMaturitySecuritiesFairValue,4076611.0,50960000.0,4114072.0,4178043.0
NotesPayableRelatedPartyNetOfDebtDiscount,0.0,173000.0,161000.0,
DebtInstrumentUnamortizedPremiumCurrent,504386.0,553965.0,504386.0,
CashReservesRequirements,8918000.0,7472000.0,12362000.0,8918000.0
CapitalizedComputerSoftwareAccumulatedAmortization,772014.0,565687.0,665183.0,-6285.0
LimitedPartnersCapitalAccountUnitsIssued,20757.0,20757.0,15192.0,15197.0
ConvertibleNotesPayableNetOfDiscounts,0.0,30010.0,,
AccumulatedAmortizationOfCourseDevelopment,3577000.0,3577000.0,2227000.0,
HeldToMaturityFairValue,123000.0,123000.0,123000.0,123000.0
EquitySecuritiesCostBasis,210000.0,5000.0,210000.0,612000.0
PremiumOnConvertibleNotesPayableBridgeNotes,0.0,,,
OtherReceivablesReserve,12000.0,,,
AvailableForSaleDebtSecuritiesAmortizedCostBasis,155431261.0,119122106.0,155431261.0,991000.0
PreferredStockNoParValue,0.0,0.0,0.001,0.0
CashAndDueFromBanks,12529295.0,26869308.0,27224900.0,14282321.0
TemporaryEquitySharesAuthorized,1200000.0,1200000.0,1200000.0,
ConvertibleDebtInstrumentUnamortizedDiscount,0.0,,214524.0,96750.0
CashEquivalentsAtCarryingValue,10379729.0,7548417.0,1960.0,8872982.0
AccountsAndNotesReceivableNet,0.0,362579.0,1784207.0,1573600.0
InterestBearingDepositsInBanks,2817000.0,4118000.0,2817000.0,80948000.0
LandAvailableForSale,14000.0,14000.0,14000.0,14000.0
InvestmentsInLocalLimitedPartnershipsNet,0.0,0.0,0.0,0.0
AvailableForSaleSecuritiesDebtSecurities,184428000.0,4433000.0,188972000.0,993000.0
DebtInstrumentRelatedPartiesUnamortizedDiscountCurrent,19936.0,,,
EquitySecuritiesAvailableForSaleCost,19646481.0,13761841.0,18305986.0,22070565.0
AccumulatedAmortizationOtherIntangibles,51000.0,,,
TemporaryEquitySharesIssued,1170327.0,1170327.0,1170327.0,
MoneyMarketFundsAtCarryingValue,101.0,1285000.0,100.0,100.0
LimitedPartnersCapitalAccountUnitsOutstanding,15197.0,20757.0,15192.0,15192.0
AllowanceForDoubtfulAccountsReceivableNoncurrent,0.0,9000.0,153220.0,0.0
NotesPayableSecuredPromissoryNotesNetOfDiscounts1,0.0,,,
ReceivableBiocellsNetOfDiscountCurrentPortion,0.0,120403.0,,
EquitySecuritiesFairValueNetIncome,213000.0,5000.0,162000.0,584000.0
AvailableForSaleSecuritiesEquitySecurities,0.0,18876690.0,16572616.0,23499199.0
AccountsReceivableGrossCurrent,843175.0,4070000.0,,2921000.0
AvailableForSaleSecuritiesCurrent,600000.0,123600.0,26000.0,1170000.0
IntangibleAssetsAndGoodwill,1988603000.0,,,
AllowanceForDoubtfulAccountsOfOilAndNaturalGasSales,0.0,,,
CurrentTaxAssets,13730.0,9044.0,11172.0,20373.0
FederalFundsSold,53028286.0,6313000.0,10558075.0,0.0
RestrictedSinkingFund,13000.0,41000.0,13000.0,13000.0
AllowanceForDoubtfulAccountsReceivable1,5240000.0,,,
CashCashEquivalentsAndFederalFundsSold,41470181.0,29614286.0,29535477.0,67934815.0
PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,64000.0,1999222.0,2235720.0,160000.0
AllowanceForDoubtfulEscrowReceivableCurrent,100000.0,,200000.0,100000.0
PromissoryNoteReceivableCurrent,1250000.0,,1750000.0,
HeldToMaturitySecuritiesCurrent,4994000.0,,5014000.0,
UnbilledReceivablesCurrent,8232585.0,554793.0,1157000.0,927952.0
GstRecoverable,11172.0,,11172.0,
OilAndNaturalGasSalesReceivable,472050.0,366939.0,,
RealEstateHeldforsale,136248.0,136248.0,259313.0,136248.0
FundsHeldUnderReinsuranceAgreementsAsset,,203170.0,,
AllowanceForDoubtfulAccountsOfJointInterestBillings,265000.0,,,
OilAndGasJointInterestBillingReceivablesCurrentRelatedParty,204730.0,204730.0,102324.0,
TaxCreditCarryforwardAmount,1043849.0,771490.0,1088849.0,1133849.0
DueFromAffiliates,0.0,0.0,1137259.0,0.0
ReceivablesNetCurrent,5978896.0,5673297.0,5533258.0,548895.0
AccountsReceivableRelatedParties,20000.0,0.0,20000.0,18000.0
ReceivableBiocellsNetOfDiscountLongTermPortion,113996.0,0.0,,
NotesPayableSecuredPromissoryNotesNetOfDiscounts2,0.0,2603000.0,,
InvestmentsInAssociates,1830138000.0,,,0.0
RoyaltiesReceivable,50250.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,761685.0,5325654.0,23440000.0,
DebtInstrumentUnamortizedDiscountNoncurrent,45381.0,70000.0,702217.0,0.0
ShortTermInvestments,950000.0,27999000.0,0.0,26943000.0
PreferredStockLiquidationValue,100000.0,100000.0,,
PrepaidResearchAndDevelopment,11120000.0,11389000.0,9691000.0,9691000.0
AccountsReceivableRelatedPartiesCurrent,482000.0,920000.0,0.0,0.0
InvestmentOwnedAtCost,2012081.0,731388.0,480000.0,2021172.0
