,2019q2,2018q4,2019q3,2019q4
AccumulatedDepreciationOnPropertyAndEquipmentDisposedDuringYearsEndedOctober312018And2017,0.0,,,
ComprehensiveIncomeNetOfTax,1857000.0,,,
NetIncomeLossAvailableToCommonStockholdersBasic,-422000.0,-4725826.0,-4635536.0,365000.0
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-10667000.0,,-24597000.0,-7226000.0
ProfitLossBeforeTax,-347213.0,,,
ProfitLossFromContinuingOperations,-1960000.0,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-424391.0,,,
ProfitLossFromDiscontinuedOperationsBeforeTax,-1270612000.0,,,
ProceedsFromSaleAndCollectionOfNotesReceivable,560000.0,0.0,560000.0,112000.0
OperatingIncomeLoss,-5410.0,,-762000.0,
ProfitLoss,-35156000.0,-3814000.0,-2922000.0,-125670.0
DerivativeGainLossOnDerivative,-3141708.0,,,1454729.0
ForeignCurrencyTransactionGainLossRealized,-69676.0,9123.0,141000.0,
IncomeLossFromContinuingOperations,-4131314.0,-1173941.0,-84659.0,-3245037.0
MarketableSecuritiesGainLoss,-1289.0,-6515.0,-10556.0,-737000.0
InterestExpenseBorrowings,174588.0,,,
AccountingProfit,11645.0,,,
DepreciationAndAmortization1,69687.0,40539.0,,
ForeignCurrencyTransactionGainBeforeTax,33773.0,,,
GainLossOnSaleOfOtherAssets,0.0,0.0,,
DepreciationAndAmortisationExpense,0.0,,0.0,
MarketableSecuritiesUnrealizedGainLoss,-1599.0,,0.0,1289.0
AccretionOnPromissoryNote,708663.0,1415742.0,1118879.0,0.0
LeaseAndRentalExpense,122000.0,,,
ChangeInFairValueOfWarrantLiabilities,14000.0,,,
ProvisionForLoanAndLeaseLosses,31000.0,450000.0,180000.0,766668.0
ExpensesPaidByArmsLengthParty,0.0,,0.0,
AmortizationRightOfUseAsset,,,,
GainLossOnContractTerminationAndAcceleration,0.0,,,
OperatingLeasesRentExpenseNet,112431.0,,,
InventoryLIFOReserveEffectOnIncomeNet,0.0,-200000.0,187547.0,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedInPeriodFairValue1,21284610.0,169000.0,24000.0,639365.0
DeferredCompensationArrangementWithIndividualCompensationExpense,326707.0,1093784.0,7565.0,0.0
OtherAmortizationOfDeferredCharges,,,,
AdditionalInterestExpenseOnConvertibleDebt,60608.0,,,
NoncashRentExpense,6526.0,11593.0,,
GoodwillImpairmentLossAmount,-10354172.0,,,
FinancingFeesAssociatedWithDebtModification,0.0,60000.0,,
GainLossOnDisposalOfMineralRights,-46000.0,,,
NonoperatingGainsLosses,-228515000.0,0.0,-987000.0,
ImpairmentOfRealEstate,0.0,240000.0,,4725275.0
AllocatedShareBasedCompensationExpenseNetOfTax,473556.0,4200000.0,348000.0,286000.0
AmortizationOfValueOfBusinessAcquiredVOBA,177538.0,,363239.0,557718.0
SharebasedCompensationCommonStock,276497.0,,,
AmortizationOfOperatingLeaseRightOfUseAssets,3748.0,,0.0,16020.0
StraightlineRentalIncome,46000.0,85000.0,40000.0,
AmortizeLeaseAssetsAndObligation,-6154.0,,,
ImputedInterestRelatedParty,-4947.0,-8097.0,-4771.0,-16027.0
StockIssuedForInterestPaymentsOnNotesPayable,14628.0,,379275.0,
OtherAssetImpairmentCharges,0.0,,61902.0,1549000.0
GainLossRelatedToLitigationSettlement,6750.0,0.0,-18968.0,0.0
AmortizationOfOtherAssets,32219.0,12189.0,40635.0,11218.0
EquityBasedCompensation,635223.0,,,
ChangeInFairValueOfEarnoutObligations,0.0,,,
IncreaseDecreaseInAccruedInterestPayable,76284.0,148882.0,254377.0,
