,2019q2,2018q4,2019q3,2019q4
CommonStockDividendsPerShareDeclared,0.045,0.19,0.36,
StockRepurchaseDuringPeriodShares,27100.0,,65772.0,
NetIncomeAttributableToNoncontrollingInterest1,11000.0,10000.0,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,0.0,2000.0,,
ComprehensiveIncomeLossNetOfFederalHomeLoanBankAssessmentsAttributableToParent,1290000.0,7273000.0,,
MinorityInterestContributedCapitalDistributions,-25000.0,-25000.0,,
ForgivenessOfDebt,591785.0,,,
PaymentsForRepurchaseOfCommonStock,129032.0,199000.0,,
IssuanceOfWarrants,0.0,,,
ReversalOfPriorPeriodNoncashCompensationChargesInCurrentPeriod,-830500.0,,-830500.0,-830500.0
PartnersCapitalAccountRedemptions,-2610.0,-57538.0,-15655.0,-15655.0
ProceedsFromRelatedPartyDebt,0.0,,,
QuarterlyFinancialInformationQuarterlyChargesAndCreditsAmountAffectingComparability,-92969.0,,-92969.0,
AdjustmentsToAdditionalPaidInCapitalCapitalContributions,8594000.0,,225000.0,225000.0
DividendsDeclared,-1464000.0,0.0,,89000.0
ProceedsFromIssuanceOfPrivatePlacement,0.0,,,
NoncashCompensationAwards,677087.0,,677088.0,677088.0
CostsFromForgivenessOfDebt,-8850.0,,-8850.0,-8850.0
DeferredShareUnitsToNonManagementBoardMembers,7565.0,7565.0,,7565.0
EquityBasedCompensation,635223.0,,,
SharebasedCompensationArrangementBySharebasedPaymentAwardCompensationCost1,140762.0,13590.0,146878.0,14878.0
TradingSecuritiesUnrealizedHoldingGainLoss,-14000.0,,25000.0,4000.0
ProceedsFromIssuanceOfCommonStock,70000.0,13015825.0,,
ProceedsFromIssuanceOrSaleOfEquity,15234529.0,275000.0,4942609.0,
StockIssuedDuringPeriodValueStockWarrantsAndOptionsExercised,0.0,0.0,,
StockIssuedForLOCValue,15603.0,,,
CashReceivedForStockSubscriptions,50000.0,50000.0,20000.0,
IssuanceOfPreferredStockAndWarrantsNetOfIssuanceCosts,10600121.0,,10600121.0,
PrivatePlacementNetOfShareIssueCostsAmount,1440000.0,,,
StockIssuedDuringPeriodValueCherokeeLoan,17000.0,,,
EmployeeBenefitsAndShareBasedCompensation,29600.0,0.0,0.0,0.0
PartnersCapitalAccountDistributions,38109.0,0.0,77150.0,77151.0
PartnersCapitalAccountUnitsRedeemed,7570.0,,,
PartnersCapitalAccountContributions,-284.0,,,
PartnersCapital,-13179.0,-1090456.0,3543952.0,74406.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,39000.0,0.0,29844.0,361317.0
CommonStockIssuedForServicesProvidedAmount,38100.0,,,
ConversionOfAccruedInterestOnNotesPayableRelatedPartyToCommonStockValue,167000.0,,,
DividendsPreferredStockSeriesD,0.0,,,
StockIssuedDuringPeriodValueIssuedForCompensation,162250.0,,70000.0,
MinorityInterestDecreaseFromRedemptions,-60000.0,,,
GainOrLossOnSaleOfStockInSubsidiary,0.0,,,0.0
CumulativeEffectOfChangeInAccountingForEquitySecurities,-3311.0,-22000.0,0.0,0.0
ConversionOfConvertibleNotesAmount,60300.0,762952.0,60300.0,
PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,0.0,15000.0,,
StockIssuedDuringPeriodValueATMSaleOfCommonStock,21968007.0,,,
OtherComprehensiveIncomeOtherNetOfTax,-394.0,,458.0,279.0
ClassBCommonSharesIssued,100.0,,100.0,
ProceedsFromDebtNetOfIssuanceCosts,307965.0,4332150.0,307965.0,307965.0
CommonStockIssuedToEmployeeValue,0.0,,,
CommonStockIssuedOnEquityLineOfCreditAmount,18323.0,,,18323.0
FiniteLivedIntangibleAssetsTranslationAndPurchaseAccountingAdjustments,43000.0,,,
LossAbsorption,0.0,,,
PaymentsOfCapitalDistribution,0.0,,,
StockIssuedDuringPeriodValueStockWarrantsExercised,748535.0,748535.0,,
StockholdersEquityAfterAdjustment,6443338.0,6443338.0,6443000.0,6443000.0
ProceedsFromSaleOfCommonStockAndWarrantsForCashInSeptember2017PublicOfferingNetOfUnderwritingDiscountAndExpenses,2024400.0,,,
StockIssuedDuringPeriodValuePreferredStock,58468.0,58468.0,,
RestatedEquity,266228.0,,,
CancelledCommonSharesDueToReverseforwardSplit,0.0,,,
ReturnOfCommonStockForFinalSettlementOfPairAcquisitionAmount,-29279.0,,-29279.0,-29279.0
StockIssuedDuringPeriodValueConversionOfRelatedPartyConvertibleSecurities,49090.0,,49090.0,
NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,-12677000.0,,-614000.0,-989490.0
EffectiveRepurchaseOfStockOptions,-240670.0,,-240668.0,
IssuanceOfCommonStockInOfferingForWorkingInterest,1589950.0,,,
StockCompensationExpenseEmployeeOptions,37848.0,50899.0,37848.0,50899.0
StockIssuedForCompensationAmount,112097.0,,452828.0,
StockIssuedDuringPeriodValueBoardMeetingAttendance,7000.0,,,
CommonShareBuybackUnderNormalCourseIssuerBidAmount,-21000.0,,,
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings,-152000.0,,-152000.0,-155000.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,48499.0,,,
RepurchaseOfCommonAndPreferredSharesShares,-174579.0,,73145.0,
StockIssuedDuringPeriodValueLeaseAcquisition,0.0,,,
ProceedsFromIssuanceInitialPublicOffering,9578063.0,,,
IssueOfEquity,100.0,,100.0,4624000000.0
StockIssuedDuringPeriodValueIssuedForDebt,427775.0,,,
ConversionOfPreferredStockToCommonStockAmount,,,,
ValueOfSharesIssuedPursuantToConversionOfConvertiblePromissoryNotes,82363.0,1555106.0,703546.0,1555106.0
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,107500.0,,106170616.0,130370616.0
CommonStockSubscriptionsReceived,135368.0,,250368.0,325368.0
IssuanceOfCommonStockPursuantToSeriesPreferredStockConversionsValue,0.0,,0.0,0.0
StockIssuedDuringPeriodValueStockOptionsExercisedCashless,-1.0,,-1.0,
OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,7500.0,,,-18100.0
ForeignCurrencyTransactionGainLossRealized,236000.0,,-436000.0,0.0
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,-205569.0,810344.0,11000.0,-132345.0
EquityModifiedBalances,13676029000.0,,,
DividendsCommonStockCash,783000.0,1090000.0,783000.0,986368.0
StockIssuedDuringPeriodValueRestrictedStockUnitsExercised,0.0,,0.0,
DividendsSeriesEPreferredStock,-11303.0,,,
SharesNotIssuedForEmployeeTaxLiability,2000.0,5000.0,1000.0,2000.0
BeginningBalanceAmountAsAdjusted,94577746.0,94577746.0,94577746.0,88726808.0
CancellationOfCommonStockIssuedToBoardMembers,-2.0,,-2.0,
IssuanceOfStockForWarrantExercise,77000.0,200000.0,,
StockRedeemedOrCalledDuringPeriodShares,-93217.0,,,
StockIssuedDuringPeriodValueIssuedForWarrants,9520.0,,,
OtherDepreciationAndAmortization,120000.0,144041.0,47694.0,
RestrictedStockExpense,721000.0,,33000.0,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,29600.0,,24866.0,70073.0
BusinessCombinationAcquisitionRelatedCosts,0.0,,,
ProceedsFromPartnershipContribution,165437.0,225000.0,15705.0,
StockRedeemedOrCalledDuringPeriodValue,12000.0,,-999990.0,400000.0
ConversionOfStockAmountIssued1,4250000.0,2375016.0,4250000.0,50000.0
IncreaseDecreaseThroughAcquisitionOfSubsidiary,2183000.0,,,125000000.0
PriorPeriodReclassificationAdjustment,30631.0,576000.0,576000.0,
IncrementalCommonSharesAttributableToConversionOfPreferredStock,0.0,0.0,,
IssuanceOfCommonStockForDebtInducementValue,185000.0,,,
StockIssuedDuringPeriodValueConsultants,360771.0,,,
IssuanceOfCommonStockInAtMarketOfferingNetOfOfferingCosts,52430000.0,108945000.0,28395000.0,20759000.0
IssuanceOfPreferredAndCommonStockNetCost,11811385.0,,,
CommonStockIssuedOnDebtConversionsAmount,215619.0,,,423197.0
CommonStockIssuedWithPpmAmount,30508670.0,,30506521.0,39876660.0
AppropriationOfReserves,0.0,,,
IssuanceOfCommonStockForAtmFinancing,1455000.0,,,
ConversionOfSeriesCPreferredStockToCommonStockAmount,170000.0,,,
OptionsIssuedForServices,186000.0,423575.0,,
AdjustmentsToAdditionalPaidInCapitalDeferredFinancingCostsRelatedToDebtModification,10000.0,,,
StockIssuedToConvertNotesPayableValue,15000.0,,1028.0,1028.0
ProceedsFromSaleOfCommonStockAndWarrantsForCashInDecember2017PublicOfferingNetOfUnderwritingDiscountAndExpenses,13624000.0,,,
RepurchaseOfCommonAndPreferredSharesAmount,-51960.0,,-58217.0,-93682.0
ValueOfWarrantsRelatedToConvertibleNote,1122355.0,,,
CashReceivedForAcquisitionOfCommonShares,367500.0,,,367500.0
StockIssuedDuringPeriodValueIssuedForAccruedInterest,0.0,,7022.0,
ShareSubscriptionsReceived,59241.0,,104861.0,391670.0
StockIssuedDuringPeriodValuePreferred,600000.0,,,
DividendsSeriesFPreferredStock,-29708.0,,,
DebtInstrumentConvertibleBeneficialConversionFeature,615625.0,30000.0,10500.0,1673811.0
PaymentsToMinorityShareholders,0.0,,,
UnrealizedGainLossOnInvestments,0.0,,,
ImputedInterestRelatedParty,-4947.0,-1870.0,-10457.0,-16027.0
GainLossOnSaleOfBusiness,107874.0,,,
StockIssuedDuringPeriodValueEarnoutPaymentToNuelleShareholders,11589.0,,250000.0,
StockIssuedDuringPeriodValueLoanExtension,387500.0,,,
SeriesAPreferredStockIssuedDuringPeriodValueNewIssues,219968.0,,,
StockAwardsVestedAmount,0.0,,,
StockIssuedDuringPeriodValueIssuedForDebtRelatedParty,79590.0,,,
SeriesDStockIssuedDuringPeriodValueNewIssues,817802.0,817802.0,817802.0,817802.0
SeriesAPreferredStockIssuedDuringPeriodValue,219968.0,,,
ValueOfSharesIssuedPursuantToConsultingContracts,7373.0,21895.0,7373.0,7373.0
IssuanceOfCommonStockPursuantToExerciseOfWarrantsAmount,28000.0,,,
ReturnOfSharesInLieuOfPayrollTaxWithholding,-376000.0,,,
SharesIssuedForServicesAmount,7373.0,,7373.0,
StockIssuedForCashAmount,25000.0,,,
StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,15000.0,20841.0,7000.0,58065.0
ConversionOfPreferredSharesAmount,0.0,,,
CompensationOnOptionsAndRestrictedStocksIssuedAmount,209445.0,,60295.0,60295.0
TranslationAdjustmentFunctionalToReportingCurrencyNetOfTaxPeriodIncreaseDecrease,241726.0,169492.0,-255981.0,
ConversionOfStockSharesIssued1,141116.5,278422.0,,
PreferredStockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,849360.0,,,0.0
ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,605500.0,0.0,,
NetIncomeLossAvailableToCommonStockholdersBasic,-784433.0,,-8393000.0,-3993000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,4000.0,-19000.0,2806.0,6000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,690000.0,,-395525.0,-1131000.0
NetIncomeLossAttributableToParentDiluted,467717.0,-5428041.0,-69347.0,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,341770.0,674651.0,49771.0,674651.0
ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,90000.0,,,120000.0
CashReceivedForCommonStockToBeContributedByOfficer,70000.0,,367500.0,70000.0
ProceedsFromContributionsFromAffiliates,44695.0,,127758.0,-4252105.0
StockIssuedDuringPeriodValueIssuedForAccruedInterestRelatedParty,21939.0,,21939.0,
StockIssuedDuringPeriodValueWarrantExercises,2324742.0,,,
ProceedsFromIssuanceOfDebt,4500000.0,,,
StockIssuedDuringPeriodValueWarrantsExchangedForCommonStock,1086000.0,,0.0,0.0
StockIssuedDuringPeriodValueIssuedForServicesAndCommitmentFees,2902764.0,,,
StockIssuedDuringPeriodValueEmployeeStockOwnershipPlan,82878.0,,,
KeyManagementPersonnelCompensationSharebasedPayment,0.0,,105000.0,0.0
WarrantsIssuedAsPartOfDebtPrivatePlacement,61904.0,,,
StockIssuedDuringPeriodValueIssuedForLineOfCredit,305200.0,,305200.0,68717.0
RepaymentsOfOtherDebt,0.0,,322000.0,0.0
StockIssuedDuringPeriodValueAcquisitions4,5496000.0,,,
IncreaseDecreaseThroughSettlementOfDebentureLiability,3102.0,,,
RedemptionOfPreferredA,-900000.0,,,
StockIssuedDuringPeriodValueIssuedForDeferredPublicOfferingCosts,171600.0,171600.0,,171600.0
NetLoss1,-1677874.0,-4301398.0,,
ExerciseOfWarrantsAt0.00001PerShareRelatedPartyAmount,30.0,,,70.0
ReclassificationOfCommonSharesIssuableToSharesOutstanding,0.0,,,
