,2019q2,2018q4,2019q3,2019q4
RevenueFromContractWithCustomerIncludingAssessedTax,1568000.0,,,8767000.0
ServicesRevenues,7026000.0,7353000.0,7868000.0,9069000.0
SalesRevenue,9257899.0,6453173.0,,28023848.0
OperatingLeasesIncomeStatementLeaseRevenue,5000.0,1886802.0,1273947.0,378752.0
ProductsRevenues,501000.0,1156000.0,908000.0,254000.0
ProductSalesRevenue,113953.0,0.0,0.0,1890.0
ServiceRevenue,683058.0,7694000.0,4982000.0,2712000.0
ProductRevenue,484000.0,589402.0,951000.0,314000.0
SalesRevenueRelatedParty,54545.0,1731238.0,,459091.0
Aalesrevenuesamount,,,,
OilAndNaturalGasSalesRevenue,416452.0,1624434.0,,
AllocatedShareBasedCompensationExpense,2344200.0,107321.0,257633.0,37000.0
LeadFees,25698000.0,27711000.0,46291000.0,24986000.0
ManufacturingRevenue,3124000.0,4765000.0,15978000.0,3637000.0
LicenseRevenues,0.0,,0.0,
Revenue,14265370000.0,0.0,,10894651000.0
SoftwareRevenues,11000.0,49000.0,112000.0,12000.0
ProjectFeeRevenueRelatedParties,134877.0,33694.0,92089.0,0.0
RevenueFromRelatedParties,15418.0,2300000.0,1900000.0,1037.0
MonitoringServicesRevenue,7162205.0,28887460.0,23841746.0,
ResearchAndDevelopmentArrangementContractToPerformForOthersCompensationEarned,0.0,75000.0,,
RentalAndRelatedIncome,1975312.0,,,
RefinedPetroleumProductSalesRevenue,255547000.0,,,
RentalIncome,4365.0,24159.0,0.0,20992000000.0
ProfessionalFeesRevenue,5003908.0,1385257.0,,
PremiumsEarnedNet,0.0,23340000.0,46942231.0,372000.0
AuditorsRemuneration,34818.0,13703.0,98364.0,27359.0
AdjustmentsForAmortisationExpense,349674000.0,,,
InterestAndFeeIncomeLoansAndLeases,1616970.0,1144548.0,21513000.0,11004000.0
InterestAndFeeIncomeLoansAndLeasesHeldInPortfolio,8481000.0,8221000.0,8529000.0,27368000.0
AuditorsRemunerationForAuditServices,36000.0,,105652.0,
LicensingRevenue,252272.0,1114739.0,,320330.0
AcademicRevenue,10501000.0,18190000.0,33232000.0,
OilAndGasSales,377151.0,276502.0,,
RentalAndRelatedIncomeRevenue,490813.0,,1169292.0,1963835.0
AfterMasterRevenues,132291.0,48739.0,,
RefineryOperationsRevenue,67858000.0,254245000.0,88265000.0,254245000.0
AuxiliaryRevenue,955000.0,1044000.0,1798000.0,
OilfieldServiceRevenue,32250.0,51668.0,,
ConsultingServices,14399.0,75005.0,23301.0,
TestingServicesRevenue,14454000.0,4437000.0,,4390000.0
PropertySales,4105774.0,138500.0,6219022.0,21500468.0
CostOfSales,4980226000.0,0.0,,0.0
AdvertisingRevenues,5878000.0,8946000.0,11310000.0,5968000.0
ProductRevenues,607473.0,94681.0,438000.0,1357000.0
MaintenanceRevenues,120000.0,369000.0,703000.0,369000.0
ExpenseArisingFromExplorationForAndEvaluationOfMineralResources,764.0,,,
SalesRevenueOther,293860.0,,1416495.0,
ManagementFeesRelatedPartyRevenue,12000.0,,0.0,0.0
SalesRevenueGross,9257899.0,8445219.0,,28079444.0
TollingAndTerminalingRevenue,2902000.0,766000.0,1088000.0,1075000.0
InterestIncomeDepositsWithFinancialInstitutions,14000.0,255000.0,124000.0,136000.0
SoftwareSalesRevenue,5636695.0,4592828.0,,
