,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,-16700000.0,5400000.0,-10400000.0,9200000.0,10500000.0
DepreciationDepletionAndAmortization,11300000.0,42300000.0,22300000.0,46600000.0,35200000.0
DeferredIncomeTaxExpenseBenefit,0.0,1500000.0,300000.0,,-3500000.0
ShareBasedCompensation,1100000.0,3800000.0,2100000.0,2200000.0,3600000.0
PensionExpense,1700000.0,6700000.0,2700000.0,6800000.0,5100000.0
OtherNoncashIncomeExpense,-200000.0,1000000.0,500000.0,-6000000.0,-600000.0
IncreaseDecreaseInReceivables,21800000.0,7800000.0,26800000.0,3200000.0,41300000.0
IncreaseDecreaseInInventories,-700000.0,-9900000.0,-3400000.0,39400000.0,31700000.0
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,-33000000.0,-2800000.0,-32200000.0,9900000.0,24500000.0
IncreaseDecreaseInAccruedIncomeTaxesPayable,-400000.0,-3100000.0,3100000.0,-3000000.0,3400000.0
IncreaseDecreaseInOtherOperatingCapitalNet,4800000.0,5600000.0,-2700000.0,-5700000.0,-1800000.0
NetCashProvidedByUsedInOperatingActivities,-63200000.0,17800000.0,24600000.0,62500000.0,17800000.0
PaymentsToAcquirePropertyPlantAndEquipment,10200000.0,33500000.0,15500000.0,37600000.0,22900000.0
PaymentsForProceedsFromOtherInvestingActivities,0.0,-300000.0,0.0,0.0,0.0
NetCashProvidedByUsedInInvestingActivities,-10100000.0,-24200000.0,-17300000.0,-36900000.0,-24200000.0
ProceedsFromLinesOfCredit,27000000.0,57000000.0,27000000.0,82000000.0,0.0
RepaymentsOfLinesOfCredit,25000000.0,15000000.0,25000000.0,142000000.0,25000000.0
RepaymentsOfLongTermDebt,1000000.0,,0.0,0.0,3000000.0
RepaymentsOfLongTermCapitalLeaseObligations,100000.0,100000.0,0.0,0.0,0.0
PaymentsForRepurchaseOfCommonStock,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
ProceedsFromStockOptionsExercised,0.0,700000.0,200000.0,300000.0,100000.0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,700000.0,1800000.0,700000.0,600000.0,600000.0
NetCashProvidedByUsedInFinancingActivities,-26700000.0,7900000.0,-79100000.0,13300000.0,-80100000.0
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,700000.0,,-400000.0,,-500000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,-10100000.0,,-128300000.0,,-107200000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,39000000.0,,39000000.0,,39000000.0
DisposalGroupIncludingDiscontinuedOperationCashAndCashEquivalents,-1200000.0,,-3500000.0,-1600000.0,0.0
CashandCashEquivalentsAtCarryingValueExcludingFromDiscontinuedOperations,75700000.0,,45500000.0,173800000.0,66600000.0
CapitalExpendituresIncurredButNotYetPaid,3800000.0,6200000.0,4600000.0,8500000.0,5200000.0
InterestPaidNet,900000.0,1900000.0,1800000.0,,2500000.0
IncomeTaxesPaidNet,-2500000.0,-3100000.0,-1600000.0,8100000.0,-1600000.0
ImpairmentOfIntangibleAssetsFinitelived,,12500000.0,,,
OtherPaymentsToAcquireBusinesses,,36100000.0,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,1600000.0,,-1000000.0,
CashAndCashEquivalentsPeriodIncreaseDecrease,,13000000.0,,30600000.0,
CashAndCashEquivalentsAtCarryingValue,,39400000.0,,0.0,
PaymentsOfFinancingCosts,,,100000.0,700000.0,0.0
DiscontinuedOperationNoncashGainLossonDisposalofDiscontinuedOperation,,,,0.0,
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,,,,0.0,
DeferredIncomeTaxesAndTaxCredits,,,,2400000.0,
AmortizationOfFinancingCosts,,,,600000.0,
ProceedsFromDivestitureOfBusinesses,,,,0.0,
ProceedsFromSaleOfProductiveAssets,,,,400000.0,
PaymentsToAcquireBusinessesGross,,,,0.0,
ProceedsFromIssuanceOfLongTermDebt,,,,0.0,
PaymentsOfDistributionsToAffiliates,,,,0.0,
ProceedsFromContributionsFromAffiliates,,,,0.0,
InterestPaid,,,,3400000.0,
CapitalLeaseObligationsIncurred,,,,0.0,
InventoryWriteDown,,,,,0.0
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,7600000.0
ProceedsRelatedToSaleOfDiscontinuedOperations,,,,,-1900000.0
