,2019q2,2018q4,2019q3,2019q1,2019q4
NetIncomeLoss,-16700000.0,-10400000.0,14700000.0,-163000000.0,-33400000.0
TreasuryStockValueAcquiredCostMethod,1000000.0,4900000.0,1000000.0,,1000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,400000.0,1500000.0,900000.0,1800000.0,100000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,7600000.0,-4600000.0,-2800000.0,-7600000.0,200000.0
StockholdersEquity,377600000.0,569000000.0,551800000.0,624000000.0,306500000.0
StockholdersEquityNetParentCompanyTransfers,,-200000.0,,-800000.0,
AdjustmentstoAdditionalPaidinCapitalReclassificationofNetParentInvestment,,0.0,,0.0,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,,,,-4100000.0,
StockholdersEquityDistributionstoParent,,,,50000000.0,
StockRepurchasedDuringPeriodValue,,,,1000000.0,
StockRepurchasedDuringPeriodShares,,,,69000.0,
StockIssuedDuringPeriodSharesNewIssues,,,,0.0,
