,2019q2,2018q4,2019q3,2019q1,2019q4
RevenueFromContractWithCustomerExcludingAssessedTax,98178000.0,318646000.0,98058000.0,377317000.0,
CostOfGoodsAndServicesSold,63112000.0,211387000.0,66720000.0,274119000.0,
GrossProfit,39998000.0,33333000.0,66404000.0,25290000.0,
ResearchAndDevelopmentExpense,7271000.0,6478000.0,7067000.0,26174000.0,
SellingGeneralAndAdministrativeExpense,12674000.0,31476000.0,26375000.0,45200000.0,
OperatingIncomeLoss,15121000.0,17829000.0,16629000.0,3361000.0,
OtherNonoperatingIncomeExpense,-69000.0,-34000.0,383000.0,-560000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,15052000.0,14286000.0,10953000.0,,
IncomeTaxExpenseBenefit,1842000.0,1230000.0,2187000.0,9697000.0,
NetIncomeLossAttributableToNoncontrollingInterest,0.0,24000.0,0.0,79000.0,
NetIncomeLoss,22135000.0,48844000.0,13677000.0,20191000.0,
EarningsPerShareBasic,0.37,0.36,0.38,0.62,
EarningsPerShareDiluted,0.36,0.89,0.6,0.36,
ProfitLoss,13210000.0,13056000.0,8766000.0,20192000.0,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-480000.0,-1162000.0,-357000.0,-1045000.0,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,6000.0,19000.0,25000.0,-342000.0,
OtherComprehensiveIncomeLossNetOfTax,-486000.0,618000.0,-12000.0,1103000.0,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,21661000.0,11806000.0,35019000.0,51170000.0,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,12000.0,80000.0,0.0,1000.0,
ComprehensiveIncomeNetOfTax,12894000.0,11807000.0,8754000.0,51091000.0,
ImpairmentOfLongLivedAssetsHeldForUse,,259000.0,,259000.0,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,14286000.0,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,0.0
